row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị (VND),Số cuối năm > Giá trị hợp lý (VND),Số cuối năm > Tỷ lệ lợi ích,Số cuối năm > Tỷ lệ quyền biểu quyết,Số đầu năm > Giá trị (VND),Số đầu năm > Giá trị hợp lý (VND),Số đầu năm > Tỷ lệ lợi ích,Số đầu năm > Tỷ lệ quyền biểu quyết,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Giá trị hợp lý (VND),numeric__Số cuối năm > Tỷ lệ lợi ích,numeric__Số cuối năm > Tỷ lệ quyền biểu quyết,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Giá trị hợp lý (VND),numeric__Số đầu năm > Tỷ lệ lợi ích,numeric__Số đầu năm > Tỷ lệ quyền biểu quyết
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ (i),Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ (i),Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ (i),1.328.000.000.000,(viii),100%,100%,1.078.000.000.000,(viii),100%,100%,1328000000000.0,,1.0,1.0,1078000000000.0,,1.0,1.0
Công ty TNHH Văn Phú Resort – Lộc Bình (ii),Công ty TNHH Văn Phú Resort – Lộc Bình (ii),Công ty TNHH Văn Phú Resort – Lộc Bình (ii),1.310.700.000.000,(viii),100%,100%,558.000.000.000,(viii),100%,100%,1310700000000.0,,1.0,1.0,558000000000.0,,1.0,1.0
Công ty Cổ phần Đầu tư Xây dựng New Tech (iii),Công ty Cổ phần Đầu tư Xây dựng New Tech (iii),Công ty Cổ phần Đầu tư Xây dựng New Tech (iii),495.000.000.000,(viii),99%,99%,-,(viii),0%,0%,495000000000.0,,0.99,0.99,,,0.0,0.0
Công ty Cổ phần Văn Phú Bắc Ái,Công ty Cổ phần Văn Phú Bắc Ái,Công ty Cổ phần Văn Phú Bắc Ái,288.000.000.000,(viii),60%,60%,288.000.000.000,(viii),60%,60%,288000000000.0,,0.6,0.6,288000000000.0,,0.6,0.6
Công ty Cổ phần Đầu tư Bất động sản Tân Trí,Công ty Cổ phần Đầu tư Bất động sản Tân Trí,Công ty Cổ phần Đầu tư Bất động sản Tân Trí,208.031.250.000,(viii),"82,71%","82,71%",208.031.250.000,(viii),"82,71%","82,71%",208031250000.0,,0.8271,0.8271,208031250000.0,,0.8271,0.8271
Công ty Cổ phần Union Success Việt Nam (iv),Công ty Cổ phần Union Success Việt Nam (iv),Công ty Cổ phần Union Success Việt Nam (iv),150.000.000.000,(viii),"12,71%","12,71%",-,(viii),0%,0%,150000000000.0,,0.12710000000000002,0.12710000000000002,,,0.0,0.0
Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,95.170.000.000,(viii),62%,62%,95.170.000.000,(viii),62%,62%,95170000000.0,,0.62,0.62,95170000000.0,,0.62,0.62
Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú (v),Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú (v),Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú (v),21.000.000.000,(viii),30%,30%,13.500.000.000,(viii),30%,30%,21000000000.0,,0.3,0.3,13500000000.0,,0.3,0.3
Công ty Cổ phần Văn Phú Homes (vi),Công ty Cổ phần Văn Phú Homes (vi),Công ty Cổ phần Văn Phú Homes (vi),14.000.000.000,(viii),70%,70%,-,(viii),0%,0%,14000000000.0,,0.7,0.7,,,0.0,0.0
Công ty Cổ phần Văn Phú – B&C (vii),Công ty Cổ phần Văn Phú – B&C (vii),Công ty Cổ phần Văn Phú – B&C (vii),-,(viii),0%,0%,570.000.000,(viii),"62,64%",70%,,,0.0,0.0,570000000.0,,0.6264,0.7
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.909.901.250.000,,,,2.241.271.250.000,,,,3909901250000.0,,,,2241271250000.0,,,
