row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 1 tháng,Từ 1 đến 3 tháng,Tù 3 đến 6 tháng,Tù 6 đến 12 tháng,Tù 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Tù 3 đến 6 tháng,numeric__Tù 6 đến 12 tháng,numeric__Tù 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bac, đá quý","Tiền mặt, vàng bac, đá quý","Tiền mặt, vàng bac, đá quý",-,384 031,-,-,-,-,-,-,384 031,,,,,,,,,
Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,-,-,3 749 729,-,-,-,-,-,3 749 729,,,,,,,,,
"Tiền, vàng gửi tai và cho vay cac TCTD khác (*)","Tiền, vàng gửi tai và cho vay cac TCTD khác (*)","Tiền, vàng gửi tai và cho vay cac TCTD khác (*)",-,-,11 658 654,-,-,-,-,-,11 658 654,,,,,,,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,5 540,59 236,115 899,42 698,-,-,223 373,,,,,,,,,
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),9 147 339,-,8 088.597,21 523 032,1 387 813,1 854 497,5 446 556,274 439,47 722 273,,,,,,,,,
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,-,-,-,-,-,-,-,,,,,,,,,
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,1 649 999,350 166,249 680,342 730,4 613 469,4 678 082,11 884 126,,,,,,,,,
"Gop vốn, đầu tư dai han (*)","Gop vốn, đầu tư dai han (*)","Gop vốn, đầu tư dai han (*)",-,-,-,-,-,-,-,719 600,719 600,,,,,,,,,
Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,-,-,-,-,-,743 115,743 115,,,,,,,,,
Tài sản Có khác (*),Tài sản cố định và Bất động sản đầu tư > Tài sản Có khác (*),Tài sản Có khác (*),-,12 905 158,104 185,95 223,18 585,21 100,646,1 273 667,14 418 564,,,,,,,646.0,,
