row_label_raw,row_label_full,4 2 Đối với sự thay đổi (tăng/gnăm) của Dự phòng từ ro tín dụng (tt) > Năm trước > Số dư đầu năm > Dự phòng rủi ro trích lập/ (hoản nhập) trong năm > Sử dung dư phong rủi ro tin dung trong năm > Số dư cuối năm > Chỉ tiết số dư dự phòng cuối ky (*),Dự phòng chung > 303.086 > 40 612 > - > 343.698 > 31/12/2023,Dự phòng cụ thể > 388.529 > 227 463 > (28) > 615.964 > 01/01/2023,numeric__Dự phòng chung > 303.086 > 40 612 > - > 343.698 > 31/12/2023,numeric__Dự phòng cụ thể > 388.529 > 227 463 > (28) > 615.964 > 01/01/2023
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,1 078.095,959.662,,959662.0
+ Dư phòng chung,+ Dư phòng chung,+ Dư phòng chung,312 594,343 698,,
+ Dư phòng cụ thể,+ Dư phòng cụ thể,+ Dư phòng cụ thể,765 501,615 964,,
Cộng,+ Dư phòng cụ thể > Cộng,Cộng,1.078.095,959.662,1078095.0,959662.0
