row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay khách hàng,Tổng tiền gửi,Các cam kết tín dụng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay khách hàng,numeric__Tổng tiền gửi,numeric__Các cam kết tín dụng,numeric__CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán
Trong nước,Trong nước,Trong nước,55.344 259,85 880.515,3 317.107,5 336.460,13.389 684,,,,,
Ngoài nước,Ngoài nước,Ngoài nước,-,-,,,-,,,,,
