row_label_raw,row_label_full,3.1. Tiền gửi tại các TCTD khác,31/12/2023,01/01/2023,numeric__31/12/2023,numeric__01/01/2023
Tiền gửi không kỳ han,Tiền gửi không kỳ han,Tiền gửi không kỳ han,5.460.903,4.349 604,5460903.0,
Băng VND,Băng VND,Băng VND,5 078 502,4 022 432,,
Băng ngoại hối,Băng ngoại hối,Băng ngoại hối,382 401,327 172,,
Tiền gửi có ky han,Tiền gửi có ky han,Tiền gửi có ky han,3 000.000,7 309 050,,
Băng VND,Băng VND,Băng VND,3 000 000,7 050 000,,
Băng ngoại hối,Băng ngoại hối,Băng ngoại hối,-,259 050,,
Cộng,Băng ngoại hối > Cộng,Cộng,8.460.903,11.658.654,8460903.0,11658654.0
"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác",31/12/2023,01/01/2023,,
- Ng du tiêu chuẩn,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > - Ng du tiêu chuẩn",- Ng du tiêu chuẩn,8.460.903,11.658 654,8460903.0,
Tổng cộng,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > Tổng cộng",Tổng cộng,8.460.903,11.658.654,8460903.0,11658654.0
