row_label_raw,row_label_full,4.1b Phân tích du nợ theo thời gian,4.1b Phân tích du nợ theo thời gian_1,4.1b Phân tích du nợ theo thời gian_2,numeric__4.1b Phân tích du nợ theo thời gian_1,numeric__4.1b Phân tích du nợ theo thời gian_2
,,,31/12/2023,01/01/2023,,
Nợ ngắn han,Nợ ngắn han,Nợ ngắn han,20.767 054,15 945 165,,
Nợ trung han,Nợ ngắn han > Nợ trung han,Nợ trung han,21.059.422,16 597 448,21059422.0,
Nợ dài han,Nợ ngắn han > Nợ dài han,Nợ dài han,13.517.783,15.179.660,13517783.0,15179660.0
Tổng cộng,Nợ ngắn han > Tổng cộng,Tổng cộng,55.344.259,47.722.273,55344259.0,47722273.0
