row_label_raw,row_label_full,31/12/2023,31/12/2023_1,31/12/2023_2,01/01/2023,01/01/2023_1,01/01/2023_2,numeric__31/12/2023_1,numeric__31/12/2023_2,numeric__01/01/2023,numeric__01/01/2023_1,numeric__01/01/2023_2
Tổng số,Tổng số,Tổng số,Vốn CP thường,Vốn CP ưu đãi,Tổng số,Vốn CP thường,Vốn CP ưu đãi,,,,,
5.601.555,5.601.555,5.601.555,5 601 555,-,5.601 555,5 601.555,-,,,,,
-,-,-,-,-,-,-,-,,,,,
(29.644),- > (29.644),(29.644),(29 644),-,(29.644),(29.644),-,,,-29644.0,-29644.0,
5.571.911,- > 5.571.911,5.571.911,5.571.911,-,5.571.911,5.571.911,-,5571911.0,,5571911.0,5571911.0,
