row_label_raw,row_label_full,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi > 31/12/2023,- Thuyết minh theo loại tiền gửi > 01/01/2023,numeric__- Thuyết minh theo loại tiền gửi > 31/12/2023,numeric__- Thuyết minh theo loại tiền gửi > 01/01/2023
"Iền, vang gửi không ky hạn","Iền, vang gửi không ky hạn","Iền, vang gửi không ky hạn",4.586 717,6 243 580,,
- Bằng VND,- Bằng VND,- Bằng VND,4 307.669,5 859 176,,
- Bằng ngoại hối,- Bằng VND > - Bằng ngoại hối,- Bằng ngoại hối,279.048,384 404,279048.0,
"Tiền, vàng gửi có ky han","Tiền, vàng gửi có ky han","Tiền, vàng gửi có ky han",71.984 138,64 733 457,,
- Bằng VND,- Bằng VND,- Bằng VND,71 904 816,64 607 237,,
- Bằng ngoại hối,- Bằng VND > - Bằng ngoại hối,- Bằng ngoại hối,79.322,126.220,79322.0,126220.0
Tiền gửi vốn chuyên dùng,- Bằng VND > Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,283,802,283.0,802.0
Tiền gửi ký quỹ,- Bằng VND > Tiền gửi ký quỹ,Tiền gửi ký quỹ,279.076,372.490,279076.0,372490.0
- Bằng VND,- Bằng VND > - Bằng VND,- Bằng VND,277.159,372 490,277159.0,
- Bằng ngoại hối,- Bằng VND > - Bằng ngoại hối,- Bằng ngoại hối,1.917,-,1917.0,
Tổng cộng,- Bằng VND > Tổng cộng,Tổng cộng,76.850.214,71.350.329,76850214.0,71350329.0
