row_label_raw,row_label_full,4.1c Phân tích dư nợ cho vay theo ngành,4.1c Phân tích dư nợ cho vay theo ngành_1,4.1c Phân tích dư nợ cho vay theo ngành_2,numeric__4.1c Phân tích dư nợ cho vay theo ngành_1,numeric__4.1c Phân tích dư nợ cho vay theo ngành_2
,,,31/12/2023,01/01/2023,,
"Nông nghiệp, lâm nghiệp va thuỷ san","Nông nghiệp, lâm nghiệp va thuỷ san","Nông nghiệp, lâm nghiệp va thuỷ san",312.596,393 440,312596.0,
"Công nghiệp chế biến, chế tao","Công nghiệp chế biến, chế tao","Công nghiệp chế biến, chế tao",3 044.725,3 680.292,,
Xây dựng,Xây dựng,Xây dựng,22 482.468,15 748 198,,
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Xây dựng > Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",3.492.150,1 072 292,3492150.0,
Dịch vu lưu trú và ăn uống,Xây dựng > Dịch vu lưu trú và ăn uống,Dịch vu lưu trú và ăn uống,719.091,425.432,719091.0,425432.0
Thông tin và truyền thông,Xây dựng > Thông tin và truyền thông,Thông tin và truyền thông,798.752,303 124,798752.0,
"Hoat động tài chính, ngân hàng và bảo hiểm","Xây dựng > Hoat động tài chính, ngân hàng và bảo hiểm","Hoat động tài chính, ngân hàng và bảo hiểm",100.000,631 293,100000.0,
Hoat đông hành chính và dịch vu hỗ trợ,Xây dựng > Hoat đông hành chính và dịch vu hỗ trợ,Hoat đông hành chính và dịch vu hỗ trợ,1.474.320,1 366 542,1474320.0,
Hoat động dịch vu khác,Xây dựng > Hoat động dịch vu khác,Hoat động dịch vu khác,28.023,1 406 270,28023.0,
Các ngành khác,Xây dựng > Các ngành khác,Các ngành khác,3.975.051,798 657,3975051.0,
Cá nhân,Xây dựng > Cá nhân,Cá nhân,18.917.083,21.896.733,18917083.0,21896733.0
Tổng cộng,Xây dựng > Tổng cộng,Tổng cộng,55.344.259,47.722.273,55344259.0,47722273.0
