row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 12 tháng,Trong hạn > Trên 1 năm,Tổng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 12 tháng,numeric__Trong hạn > Trên 1 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,248 513,-,-,-,248 513,,,,,,,
Tiền gọi tại ngân hàng Nhà nước,Tiền gọi tại ngân hàng Nhà nước,Tiền gọi tại ngân hàng Nhà nước,-,-,2 287 057,-,-,-,2 287 057,,,,,,,
"Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)",-,-,8 460 903,-,-,-,8 460 903,,,,,,,
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,-,-,-,,,,,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,-,-,-,-,-,,,,,,,
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),11 037 201,3 710 838,2 443 448,3 167 185,14 691 229,20 294 358,55 344 259,,,,,,,
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,288 261,1 700 000,300 000,2 009 146,9 092 277,13 389 684,,,,,,,
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,719 600,719 600,,,,,,,
Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,-,-,-,785 746,785 746,,,,,,,
Tài sản Có khác (*),Tài sản cố định và Bất động sản đầu tư > Tài sản Có khác (*),Tài sản Có khác (*),-,-,338.391,72 683,73 691,16 169 178,16 653 943,,,338391.0,,,,
Tổng Tài sản,Tài sản cố định và Bất động sản đầu tư > Tổng Tài sản,Tổng Tài sản,11.037.201,3.999.099,15.478.312,3.539.868,16.774.066,47.061.159,97.889.705,11037201.0,3999099.0,15478312.0,3539868.0,16774066.0,47061159.0,97889705.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,-,-,9 030 301,-,-,-,9 030 301,,,,,,,
Tiền vay từ Chính phủ và NHNN,Tiền vay từ Chính phủ và NHNN,Tiền vay từ Chính phủ và NHNN,-,-,-,-,-,-,-,,,,,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,15 305.785,13 635 546,32 521 636,15 387 247,76 850.214,,,,,,,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tiền gửi của khách hàng > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,992,17 055,8 360,-,26 407,,,992.0,,,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,16 658,16 658,,,,,,,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,3 166 906,3 166 906,,,,,,,
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,-,-,892 642,574 411,572 133,25 155,2 064 341,,,,,,,
Tổng Nợ phải trả,Các khoản nợ khác > Tổng Nợ phải trả,Tổng Nợ phải trả,-,-,25.229.720,14.227.012,33.102.129,18.595.966,91.154.827,,,25229720.0,14227012.0,33102129.0,18595966.0,91154827.0
Mức chênh thanh khoản ròng,Các khoản nợ khác > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,11.037.201,3.999.099,(9.751.408),(10.687.144),(16 328.063),28.465.193,6.734.878,11037201.0,3999099.0,-9751408.0,-10687144.0,,28465193.0,6734878.0
