row_label_raw,row_label_full,Hội đồng Quản trị > Bà Bùi Thị Thanh Hương > Ông Nguyễn Tiến Dũng > Bà Hoàng Thu Trang > Ông Dương Thế Bằng > Bà Nguyễn Thi Hải Hòa > Bà Tương Lệ Hiền > Bà Trình Thanh Mai,Chủ tịch > Phó Chủ tịch > Thành viên > Phó Chủ tịch > Thành viên > Thành viên độc lập,Ngày bổ nhiệm > 29/07/2021 > 18/06/2022 > 18/11/2023 > 29/07/2021 > 18/06/2022,Ngày miễn nhiệm > 18/11/2023,numeric__Chủ tịch > Phó Chủ tịch > Thành viên > Phó Chủ tịch > Thành viên > Thành viên độc lập,numeric__Ngày bổ nhiệm > 29/07/2021 > 18/06/2022 > 18/11/2023 > 29/07/2021 > 18/06/2022,numeric__Ngày miễn nhiệm > 18/11/2023
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,,
Bà Đỗ Thị Đức Minh,Bà Đỗ Thị Đức Minh,Bà Đỗ Thị Đức Minh,Trường ban,08/04/2023,,,,
Bà Trần Thị Hà Giang,Bà Trần Thị Hà Giang,Bà Trần Thị Hà Giang,Trường ban,26/04/2018,08/04/2023,,,
Bà Vũ Kımı Phượng,Bà Vũ Kımı Phượng,Bà Vũ Kımı Phượng,Thành viên,24/04/2015,,,,
Ông Nguyễn Văn Quang,Ông Nguyễn Văn Quang,Ông Nguyễn Văn Quang,Thành viên,08/04/2023,,,,
Bà Trần Thị Minh Huê,Bà Trần Thị Minh Huê,Bà Trần Thị Minh Huê,Thành viên,26/06/2020,08/04/2023,,,
Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,,,
Ông 1a Kiều Hưng,Ông 1a Kiều Hưng,Ông 1a Kiều Hưng,Tổng Giám đốc,27/06/2023,,,,
Ông 1a Kiều Hưng,Ông 1a Kiều Hưng,Ông 1a Kiều Hưng,Quyền Tổng Giám đốc,21/04/2023,27/06/2023,,,
Ông 1a Kiều Hưng,Ông 1a Kiều Hưng,Ông 1a Kiều Hưng,Phó Tổng Giám đốc,08/12/2022,21/04/2023,,,
Ông Nguyễn Đình Tuấn,Ông Nguyễn Đình Tuấn,Ông Nguyễn Đình Tuấn,Phó Tổng Giám đốc thường trực,13/05/2022,21/04/2023,,,
Bà Hoàng Thu Trang,Bà Hoàng Thu Trang,Bà Hoàng Thu Trang,Phó Tổng Giám đốc,03/08/2021,18/11/2023,,,
Ông Nguyễn Đức Hiếu,Ông Nguyễn Đức Hiếu,Ông Nguyễn Đức Hiếu,Phó Tổng Giám đốc,12/09/2022,02/06/2023,,,
Bà Phạm Thị Hiền,Bà Phạm Thị Hiền,Bà Phạm Thị Hiền,Phó Tổng Giám đốc,14/11/2022,,,,
Bà Đỗ Thị Đức Minh,Bà Đỗ Thị Đức Minh,Bà Đỗ Thị Đức Minh,Phó Tổng Giám đốc,08/12/2022,07/04/2023,,,
Bà Võ Thị Thùy Dương,Bà Võ Thị Thùy Dương,Bà Võ Thị Thùy Dương,Phó Tổng Giám đốc,19/02/2024,,,,
Bà Bùi Thị Khánh Vân,Bà Bùi Thị Khánh Vân,Bà Bùi Thị Khánh Vân,Kế toán trưởng,02/12/2022,,,,
