row_label_raw,row_label_full,5. Chứng khoán đầu tư,31/12/2023,01/01/2023,numeric__31/12/2023,numeric__01/01/2023
5.1. Chứng khoán đầu tư sẵn sàng để bán,5.1. Chứng khoán đầu tư sẵn sàng để bán,5.1. Chứng khoán đầu tư sẵn sàng để bán,5.1. Chứng khoán đầu tư sẵn sàng để bán,5.1. Chứng khoán đầu tư sẵn sàng để bán,,
Chứng khoán Nợ,Chứng khoán Nợ,Chứng khoán Nợ,7 736.856,5.934 530,,
- Trái phiếu/tin phiếu Chính phủ,- Trái phiếu/tin phiếu Chính phủ,- Trái phiếu/tin phiếu Chính phủ,3 736 856,5 634 530,,
- Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,-1 000 000,300 000,,
Cộng,- Chứng khoán do các TCTD khác trong nước phát hành > Cộng,Cộng,7.736.856,5.934.530,7736856.0,5934530.0
5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,
- Chung khoán Nợ do các TCKT trong nước phát hành (*),5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Chung khoán Nợ do các TCKT trong nước phát hành (*),- Chung khoán Nợ do các TCKT trong nước phát hành (*),5.652.828,5 949.596,5652828.0,
- Dự phòng rui ro chứng khoán đầu tư giữ đến ngày đáo han (1),5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Dự phòng rui ro chứng khoán đầu tư giữ đến ngày đáo han (1),- Dự phòng rui ro chứng khoán đầu tư giữ đến ngày đáo han (1),(277.923),(431.643),-277923.0,-431643.0
Cộng,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Cộng,Cộng,5.374.905,5.517.953,5374905.0,5517953.0
Tổng cộng,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Tổng cộng,Tổng cộng,13.111.761,11.452.483,13111761.0,11452483.0
