row_label_raw,row_label_full,4.1a Phân tích chất lượng nợ cho vay,4.1a Phân tích chất lượng nợ cho vay_1,4.1a Phân tích chất lượng nợ cho vay_2,numeric__4.1a Phân tích chất lượng nợ cho vay_1,numeric__4.1a Phân tích chất lượng nợ cho vay_2
,,,31/12/2023,01/01/2023,,
Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,36.737.199,36 546 154,36737199.0,
Nợ cần chu ý,Nợ cần chu ý,Nợ cần chu ý,2.138.081,2.619.629,2138081.0,2619629.0
Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,276.539,1 027 743,276539.0,
Nợ nghi ngo,Nợ nghi ngo,Nợ nghi ngo,2.527.379,4.248 162,2527379.0,
No có khả năng mất vốn,No có khả năng mất vốn,No có khả năng mất vốn,13 665.061,3 280 585,,
Tổng cộng,No có khả năng mất vốn > Tổng cộng,Tổng cộng,55.344.259,47.722.273,55344259.0,47722273.0
