row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Phần mềm máy vỉ tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vỉ tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,536.147,72.493,57.264,665.904,536147.0,72493.0,57264.0,665904.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,-,12.700,372,13 072,,12700.0,372.0,
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(50),-,(50),,-50.0,,-50.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,536.147,85.143,57.636,678.926,536147.0,85143.0,57636.0,678926.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,45.979,40.132,86.111,,45979.0,40132.0,86111.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,6 097,8.496,14.593,,,8496.0,14593.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(39),-,(39),,-39.0,,-39.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,52.037,48.628,100.665,,52037.0,48628.0,100665.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,536.147,26.514,17.132,579.793,536147.0,26514.0,17132.0,579793.0
Số du cuối năm,Giá trị còn lại của TSCĐ vô hình > Số du cuối năm,Số du cuối năm,536.147,33.106,9.008,578.261,536147.0,33106.0,9008.0,578261.0
