row_label_raw,row_label_full,CHÌ TIÊU,Thuyếtmính,31/12/2023,01/01/2023,numeric__Thuyếtmính,numeric__31/12/2023,numeric__01/01/2023
VIII. Vốn và các quỹ,VIII. Vốn và các quỹ,VIII. Vốn và các quỹ,V.15,5.094.672,5.764.228,,5094672.0,5764228.0
1 Vốn cua TCTD,1 Vốn cua TCTD,1 Vốn cua TCTD,,5.571.911,5.571.911,,5571911.0,5571911.0
a Vốn dieu lệ,a Vốn dieu lệ,a Vốn dieu lệ,,5.601.555,5 601 555,,5601555.0,
b Von đầu tư XDCB,b Von đầu tư XDCB,b Von đầu tư XDCB,,-,-,,,
c Thùng dư von cổ phần,c Thùng dư von cổ phần,c Thùng dư von cổ phần,,-,-,,,
d Co phiếu quỹ,c Thùng dư von cổ phần > d Co phiếu quỹ,d Co phiếu quỹ,,(29.644),(29 644),,-29644.0,
2 Quỹ của TCTD,c Thùng dư von cổ phần > 2 Quỹ của TCTD,2 Quỹ của TCTD,,157.516,157.516,,157516.0,157516.0
3. Chênh lệch tỷ giá hối đoái,3. Chênh lệch tỷ giá hối đoái,3. Chênh lệch tỷ giá hối đoái,,-,-,,,
4. Chênh lệch đánh giá lại tài sản,4. Chênh lệch đánh giá lại tài sản,4. Chênh lệch đánh giá lại tài sản,,-,-,,,
5 Lợi nhuận chưa phân phối,4. Chênh lệch đánh giá lại tài sản > 5 Lợi nhuận chưa phân phối,5 Lợi nhuận chưa phân phối,,(634.755),34.801,,-634755.0,34801.0
Lợi nhuận / (lỗ) năm nay,4. Chênh lệch đánh giá lại tài sản > Lợi nhuận / (lỗ) năm nay,Lợi nhuận / (lỗ) năm nay,,(669.556),8,,-669556.0,8.0
Lợi nhuận / (lỗ) năm trước,4. Chênh lệch đánh giá lại tài sản > Lợi nhuận / (lỗ) năm trước,Lợi nhuận / (lỗ) năm trước,,34.801,34.793,,34801.0,34793.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,4. Chênh lệch đánh giá lại tài sản > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,96.249.499,89.847.242,,96249499.0,89847242.0
