row_label_raw,row_label_full,Chỉ tiêu,Số dư dầu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp/khẩu trừ,Số dư cuối năm,numeric__Số dư dầu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp/khẩu trừ,numeric__Số dư cuối năm
1 Thuế GTGT,1 Thuế GTGT,1 Thuế GTGT,1.338,10.025,10.673,690,1338.0,10025.0,10673.0,690.0
2 Thuế TNDN,2 Thuế TNDN,2 Thuế TNDN,150,3.037,3 907,(720),150.0,3037.0,,-720.0
3 Các loại thuế khác,3 Các loại thuế khác,3 Các loại thuế khác,4.027,40.379,40.392,4.014,4027.0,40379.0,40392.0,4014.0
Tổng cộng,Tổng cộng,Tổng cộng,5.515,53.441,54.972,3.984,5515.0,53441.0,54972.0,3984.0
27. Loại hình và giá trị tài sản thể chấp của khách hàng,27. Loại hình và giá trị tài sản thể chấp của khách hàng,27. Loại hình và giá trị tài sản thể chấp của khách hàng,27. Loại hình và giá trị tài sản thể chấp của khách hàng,27. Loại hình và giá trị tài sản thể chấp của khách hàng,Giá trị đến,Giá trị đến,,,,
Loại tài sản đảm bảo,Loại tài sản đảm bảo,Loại tài sản đảm bảo,Loại tài sản đảm bảo,Loại tài sản đảm bảo,31/12/2023,01/01/2023,,,,
Bắt đông sản,Bắt đông sản,Bắt đông sản,Bắt đông sản,Bắt đông sản,66 997.326,68 938 149,,,,
Dông san,Bắt đông sản > Dông san,Dông san,Dông san,Dông san,5.304.711,10.008.577,,,5304711.0,10008577.0
Giấy tờ có giá,Bắt đông sản > Giấy tờ có giá,Giấy tờ có giá,Giấy tờ có giá,Giấy tờ có giá,19.642.936,20.927.759,,,19642936.0,20927759.0
Các tài sản đảm bảo khác,Bắt đông sản > Các tài sản đảm bảo khác,Các tài sản đảm bảo khác,Các tài sản đảm bảo khác,Các tài sản đảm bảo khác,99 221.151,107.197.223,,,,107197223.0
Tổng,Bắt đông sản > Tổng,Tổng,Tổng,Tổng,191.166.124,207.071.708,,,191166124.0,207071708.0
28. Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,28. Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,28. Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,28. Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,28. Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,28. Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,28. Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,31/12/2023,01/01/2023,,,,
Bảo lãnh vay vốn,Chỉ tiêu > Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,28.644,28.644,,,28644.0,28644.0
Cam kết giao dịch ngoại hối,Chỉ tiêu > Cam kết giao dịch ngoại hối,Cam kết giao dịch ngoại hối,Cam kết giao dịch ngoại hối,Cam kết giao dịch ngoại hối,4.438.665,10.526.850,,,4438665.0,10526850.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,72 765,,,,,
Cam kết giao dịch hoản đổi,Cam kết giao dịch hoản đổi,Cam kết giao dịch hoản đổi,Cam kết giao dịch hoản đổi,Cam kết giao dịch hoản đổi,4 365 900,10 526 850,,,,
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,417 270,262 005,,,,
Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,-117 270,262 005,,,,
Các bảo lãnh khác,Cam kết thanh toán trong nghiệp vụ L/C > Các bảo lãnh khác,Các bảo lãnh khác,Các bảo lãnh khác,Các bảo lãnh khác,2.871.193,3.582 868,,,2871193.0,
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,177 373,296 985,,,,
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,417 431,467 134,,,,
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,23 051,76 795,,,,
Cam kết bao lãnh khác,Cam kết bao lãnh khác,Cam kết bao lãnh khác,Cam kết bao lãnh khác,Cam kết bao lãnh khác,2.253 338,2.741 954,,,,
Các cam kết khác,Cam kết bao lãnh khác > Các cam kết khác,Các cam kết khác,Các cam kết khác,Các cam kết khác,4.442.664,714 478,,,4442664.0,
Tổng cộng,Cam kết bao lãnh khác > Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,12.198.436,15.114.845,,,12198436.0,15114845.0
