row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tàiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tàiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,157.111.229.899,290.239.737.420,36.475.119.707,116.638.099.699,600.464.186.725,157111229899.0,290239737420.0,36475119707.0,116638099699.0,600464186725.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.083.881.871,18.007.702.847,13.824.473.800,3.272.364.127,36.188.422.645,1083881871.0,18007702847.0,13824473800.0,3272364127.0,36188422645.0
Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 10),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 10),Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 10),-,4.482.459.400,-,-,4.482.459.400,,4482459400.0,,,4482459400.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.242.990.000),(1.862.600.738),(1.853.331.999),(1.561.516.607),(7.520.439.344),-2242990000.0,-1862600738.0,-1853331999.0,-1561516607.0,-7520439344.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,155.952.121.770,310.867.298.929,48.446.261.508,118.348.947.219,633.614.629.426,155952121770.0,310867298929.0,48446261508.0,118348947219.0,633614629426.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,51.408.217.316,185.012.990.430,23.433.425.214,59.365.321.593,319.219.954.553,51408217316.0,185012990430.0,23433425214.0,59365321593.0,319219954553.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.334.030.537,32.357.234.809,4.628.183.446,15.219.564.459,60.539.013.251,8334030537.0,32357234809.0,4628183446.0,15219564459.0,60539013251.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(134.461.703),(1.743.802.614),(1.853.331.999),(1.549.930.222),(5.281.526.538),-134461703.0,-1743802614.0,-1853331999.0,-1549930222.0,-5281526538.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,59.607.786.150,215.626.422.625,26.208.276.661,73.034.955.830,374.477.441.266,59607786150.0,215626422625.0,26208276661.0,73034955830.0,374477441266.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,105.703.012.583,105.226.746.990,13.041.694.493,57.272.778.106,281.244.232.172,105703012583.0,105226746990.0,13041694493.0,57272778106.0,281244232172.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,96.344.335.620,95.240.876.304,22.237.984.847,45.313.991.389,259.137.188.160,96344335620.0,95240876304.0,22237984847.0,45313991389.0,259137188160.0
