row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,542.729.276.942,141.061.865.367,683.791.142.309,542729276942.0,141061865367.0,683791142309.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,22.727.350.000,-,22.727.350.000,22727350000.0,,22727350000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.672.515.570),(1.071.057.751),(8.743.573.321),-7672515570.0,-1071057751.0,-8743573321.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,557.784.111.372,139.990.807.616,697.774.918.988,557784111372.0,139990807616.0,697774918988.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,-,33.418.256.948,33.418.256.948,,33418256948.0,33418256948.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,14.579.415.968,14.579.415.968,,14579415968.0,14579415968.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.071.057.751),(1.071.057.751),,-1071057751.0,-1071057751.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,46.926.615.165,46.926.615.165,,46926615165.0,46926615165.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,542.729.276.942,107.643.608.419,650.372.885.361,542729276942.0,107643608419.0,650372885361.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,557.784.111.372,93.064.192.451,650.848.303.823,557784111372.0,93064192451.0,650848303823.0
