row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,377.995,371.507,11.133,760.635,377995.0,371507.0,11133.0,760635.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.378,86.144,2.313,94.835,6378.0,86144.0,2313.0,94835.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.071),-,(1.071),,-1071.0,,-1071.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,384.373,456.580,13.446,854.399,384373.0,456580.0,13446.0,854399.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,-,158.449,5.951,164.400,,158449.0,5951.0,164400.0
Khẩu hao trong năm,Giá trị hao mòn luỹ kế > Khẩu hao trong năm,Khẩu hao trong năm,-,31.164,1.403,32.567,,31164.0,1403.0,32567.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.071),-,(1.071),,-1071.0,,-1071.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,-,188.542,7.354,195.896,,188542.0,7354.0,195896.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,377.995,213.058,5.182,596.235,377995.0,213058.0,5182.0,596235.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,384.373,268.038,6.092,658.503,384373.0,268038.0,6092.0,658503.0
