row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,"Nhà cửa, vật kiến trúc Triệu VND",Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,"numeric__Nhà cửa, vật kiến trúc Triệu VND",numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,28.282,42.527,70.809,28282.0,42527.0,70809.0
Số tăng trong năm,Nguyên giá > Số tăng trong năm,Số tăng trong năm,-,27,27,,27.0,27.0
Số giảm trong năm,Nguyên giá > Số giảm trong năm,Số giảm trong năm,(6.370),-,(6.370),-6370.0,,-6370.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,21.912,42.554,64.466,21912.0,42554.0,64466.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,-,5.245,5.245,,5245.0,5245.0
Số tăng trong năm,Giá trị hao mòn luỹ kế > Số tăng trong năm,Số tăng trong năm,-,1.174,1.174,,1174.0,1174.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,-,6.419,6.419,,6419.0,6419.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,28.282,37.282,65.564,28282.0,37282.0,65564.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,21.912,36.135,58.047,21912.0,36135.0,58047.0
