row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thăng dưvốn cổ phầnTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Quỹ dự trữ bổsung vốn điều lệTriệu VND,Lợi nhuậnchưa phân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thăng dưvốn cổ phầnTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Quỹ dự trữ bổsung vốn điều lệTriệu VND,numeric__Lợi nhuậnchưa phân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,20.402.983,1.204.184,945.594,210.373,3.469.086,26.232.220,20402983.0,1204184.0,945594.0,210373.0,3469086.0,26232220.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,3.676.955,3.676.955,,,,,3676955.0,3676955.0
Tăng vốn từ phát hành cổ phiếu theochương trình lựa chọn cho người lao động,Tăng vốn từ phát hành cổ phiếu theochương trình lựa chọn cho người lao động,Tăng vốn từ phát hành cổ phiếu theochương trình lựa chọn cho người lao động,420.000,84.000,-,-,-,504.000,420000.0,84000.0,,,,504000.0
Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,2.952.000,-,-,-,(2.952.000),-,2952000.0,,,,-2952000.0,
Tăng vốn từ nguồn thẳng dư vốn cổ phần,Tăng vốn từ nguồn thẳng dư vốn cổ phần,Tăng vốn từ nguồn thẳng dư vốn cổ phần,1.182.017,(1.182.017),-,-,-,-,1182017.0,-1182017.0,,,,
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,372.915,186.457,(559.372),-,,,372915.0,186457.0,-559372.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(116.336),(116.336),,,,,-116336.0,-116336.0
Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,24.957.000,106.167,1.318.509,396.830,3.518.333,30.296.839,24957000.0,106167.0,1318509.0,396830.0,3518333.0,30296839.0
