row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc Triệu VND","Máy móc, thiết bị Triệu VND","Phương tiện vận tải, truyền dẫn Triệu VND",Thiết bị văn phòng Triệu VND,Tài sản cố định khác Triệu VND,Tổng cộng Triệu VND,"numeric__Nhà cửa, vật kiến trúc Triệu VND","numeric__Máy móc, thiết bị Triệu VND","numeric__Phương tiện vận tải, truyền dẫn Triệu VND",numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.128,259.006,290.410,99.072,12.356,678.972,18128.0,259006.0,290410.0,99072.0,12356.0,678972.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.153,62.194,106.720,20.462,10.879,201.408,1153.0,62194.0,106720.0,20462.0,10879.0,201408.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(206),-,(1.108),(502),(885),(2.701),-206.0,,-1108.0,-502.0,-885.0,-2701.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.075,321.200,396.022,119.032,22.350,877.679,19075.0,321200.0,396022.0,119032.0,22350.0,877679.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,5.081,142.976,159.235,76.695,8.717,392.704,5081.0,142976.0,159235.0,76695.0,8717.0,392704.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,967,19.749,28.133,9.804,1.801,60.454,967.0,19749.0,28133.0,9804.0,1801.0,60454.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(206),-,(1.074),(502),(886),(2.668),-206.0,,-1074.0,-502.0,-886.0,-2668.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,5.842,162.725,186.294,85.997,9.632,450.490,5842.0,162725.0,186294.0,85997.0,9632.0,450490.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,13.047,116.030,131.175,22.377,3.639,286.268,13047.0,116030.0,131175.0,22377.0,3639.0,286268.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,13.233,158.475,209.728,33.035,12.718,427.189,13233.0,158475.0,209728.0,33035.0,12718.0,427189.0
