row_label_raw,row_label_full,Năm 2022Triệu VND,Hoạt độngngân hàng,Hoạt độngcông ty tài chính,Hoạt độngquản lý nợvà khai thác tài sản,Loại trừ cácgiao dịch nội bộ khi hợp nhất,Hợp nhất,numeric__Hoạt độngngân hàng,numeric__Hoạt độngcông ty tài chính,numeric__Hoạt độngquản lý nợvà khai thác tài sản,numeric__Loại trừ cácgiao dịch nội bộ khi hợp nhất,numeric__Hợp nhất
Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,
Doanh thu lãi,Doanh thu > Doanh thu lãi,Doanh thu lãi,14.501.659,749.038,29.153,(130.050),15.149.800,14501659.0,749038.0,29153.0,-130050.0,15149800.0
Thu nhập từ dịch vụ,Doanh thu > Thu nhập từ dịch vụ,Thu nhập từ dịch vụ,1.468.636,148.905,29.424,(4.267),1.642.698,1468636.0,148905.0,29424.0,-4267.0,1642698.0
Thu nhập từ các hoạt động khác,Doanh thu > Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,4.003.561,3.959,6.239,(15.547),3.998.212,4003561.0,3959.0,6239.0,-15547.0,3998212.0
,,,19.973.856,901.902,64.816,(149.864),20.790.710,19973856.0,901902.0,64816.0,-149864.0,20790710.0
Chi phí,Chi phí,Chi phí,,,,,,,,,,
Chi phí lãi,Chi phí > Chi phí lãi,Chi phí lãi,8.089.906,184.017,-,(130.050),8.143.873,8089906.0,184017.0,,-130050.0,8143873.0
Chi phí từ hoạt động dịch vụ,Chi phí > Chi phí từ hoạt động dịch vụ,Chi phí từ hoạt động dịch vụ,227.637,36.578,11.166,-,275.381,227637.0,36578.0,11166.0,,275381.0
Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,2.717.299,2,22.455,(15.547),2.724.209,2717299.0,2.0,22455.0,-15547.0,2724209.0
Chi phí hoạt động,Chi phí > Chi phí hoạt động,Chi phí hoạt động,3.057.088,274.834,4.662,66.939,3.403.523,3057088.0,274834.0,4662.0,66939.0,3403523.0
,,,14.091.930,495.431,38.283,(78.658),14.546.986,14091930.0,495431.0,38283.0,-78658.0,14546986.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,5.881.926,406.471,26.533,(71.206),6.243.724,5881926.0,406471.0,26533.0,-71206.0,6243724.0
Chi phí dự phòng rủi ro tín dụng,Chi phí > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,1.015.271,159.467,-,-,1.174.738,1015271.0,159467.0,,,1174738.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,4.866.655,247.004,26.533,(71.206),5.068.986,4866655.0,247004.0,26533.0,-71206.0,5068986.0
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,1.037.776,-,31,-,1.037.807,1037776.0,,31.0,,1037807.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,1.080.992,4.700,-,-,1.085.692,1080992.0,4700.0,,,1085692.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,230.049.700,6.336.979,620.274,(7.707.396),229.299.557,230049700.0,6336979.0,620274.0,-7707396.0,229299557.0
,,,232.168.468,6.341.679,620.305,(7.707.396),231.423.056,232168468.0,6341679.0,620305.0,-7707396.0,231423056.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,3.838.696,-,-,-,3.838.696,3838696.0,,,,3838696.0
Tiền gửi và vay TCTD khác,Nợ phải trả > Tiền gửi và vay TCTD khác,Tiền gửi và vay TCTD khác,60.609.321,3.525.000,-,(4.414.694),59.719.627,60609321.0,3525000.0,,-4414694.0,59719627.0
Tiền gửi của Khách hàng,Nợ phải trả > Tiền gửi của Khách hàng,Tiền gửi của Khách hàng,115.550.779,253,-,(3.761),115.547.271,115550779.0,253.0,,-3761.0,115547271.0
"Vốn tài trợ, ủy thác đầu tư","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư","Vốn tài trợ, ủy thác đầu tư",-,1.020,-,-,1.020,,1020.0,,,1020.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21.504.600,1.420.000,-,(1.420.000),21.504.600,21504600.0,1420000.0,,-1420000.0,21504600.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,4.424.365,645.930,27.699,(518.372),4.579.622,4424365.0,645930.0,27699.0,-518372.0,4579622.0
,,,205.927.761,5.592.203,27.699,(6.356.827),205.190.836,205927761.0,5592203.0,27699.0,-6356827.0,205190836.0
