row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu VND > Tại ngày 31 tháng 12 năm 2023,Tổng giá trị ghi sổ kế toán (theo tỷ giá ngày lập báo cáo) > Tài sảnTriệu VND > Tại ngày 31 tháng 12 năm 2023,Tổng giá trị ghi sổ kế toán (theo tỷ giá ngày lập báo cáo) > Nợ phải trảTriệu VND > Tại ngày 31 tháng 12 năm 2023,Tổng giá trị ghi sổ kế toán (theo tỷ giá ngày lập báo cáo) > Giá trị thuầnTriệu VND > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu VND > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá ngày lập báo cáo) > Tài sảnTriệu VND > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá ngày lập báo cáo) > Nợ phải trảTriệu VND > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá ngày lập báo cáo) > Giá trị thuầnTriệu VND > Tại ngày 31 tháng 12 năm 2023
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,34.926.220,34.975.086,34.966.354,8.732,34926220.0,34975086.0,34966354.0,8732.0
Giao dịch kỳ hạn lãi suất,Giao dịch kỳ hạn lãi suất,Giao dịch kỳ hạn lãi suất,228.208,228.208,229.910,(1.702),228208.0,228208.0,229910.0,-1702.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,63.785.077,64.051.930,64.168.611,(116.681),63785077.0,64051930.0,64168611.0,-116681.0
Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,3.738.560,3.738.560,3.736.040,2.520,3738560.0,3738560.0,3736040.0,2520.0
,,,102.678.065,102.993.784,103.100.915,(107.131),102678065.0,102993784.0,103100915.0,-107131.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,,,
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2022 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,30.349.361,30.221.790,30.263.993,(42.203),30349361.0,30221790.0,30263993.0,-42203.0
Giao dịch kỳ hạn lãi suất,Tại ngày 31 tháng 12 năm 2022 > Giao dịch kỳ hạn lãi suất,Giao dịch kỳ hạn lãi suất,597.258,606.463,597.258,9.205,597258.0,606463.0,597258.0,9205.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2022 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,82.465.401,82.768.849,82.716.084,52.765,82465401.0,82768849.0,82716084.0,52765.0
Giao dịch hoán đổi lãi suất,Tại ngày 31 tháng 12 năm 2022 > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,2.318.270,2.318.270,2.353.000,(34.730),2318270.0,2318270.0,2353000.0,-34730.0
,,,115.730.290,115.915.372,115.930.335,(14.963),115730290.0,115915372.0,115930335.0,-14963.0
