row_label_raw,row_label_full,Loại hình cho vay:,Loại hình cho vay:_1,Loại hình cho vay:_2,numeric__Loại hình cho vay:_1,numeric__Loại hình cho vay:_2
,,,31/12/2023Triệu VND,31/12/2022Triệu VND,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",179.413.776,153.583.375,179413776.0,153583375.0
Các khoản trả thay khách hàng,Các khoản trả thay khách hàng,Các khoản trả thay khách hàng,6.965,5.761,6965.0,5761.0
"Cho vay các tổ chức kinh tế, cá nhân nước ngoài","Cho vay các tổ chức kinh tế, cá nhân nước ngoài","Cho vay các tổ chức kinh tế, cá nhân nước ngoài",331.152,366.856,331152.0,366856.0
,,,179.751.893,153.955.992,179751893.0,153955992.0
Phân tích chất lượng nợ cho vay khách hàng:,Phân tích chất lượng nợ cho vay khách hàng:,Phân tích chất lượng nợ cho vay khách hàng:,Phân tích chất lượng nợ cho vay khách hàng:,Phân tích chất lượng nợ cho vay khách hàng:,,
,,,31/12/2023Triệu VND,31/12/2022Triệu VND,,
Nợ đủ tiêu chuẩn,Phân tích chất lượng nợ cho vay khách hàng: > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,174.248.560,150.926.694,174248560.0,150926694.0
Nợ cần chú ý,Phân tích chất lượng nợ cho vay khách hàng: > Nợ cần chú ý,Nợ cần chú ý,2.020.336,569.193,2020336.0,569193.0
Nợ dưới tiêu chuẩn,Phân tích chất lượng nợ cho vay khách hàng: > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,383.457,453.553,383457.0,453553.0
Nợ nghi ngờ,Phân tích chất lượng nợ cho vay khách hàng: > Nợ nghi ngờ,Nợ nghi ngờ,864.311,219.567,864311.0,219567.0
Nợ có khả năng mất vốn,Phân tích chất lượng nợ cho vay khách hàng: > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,2.235.229,1.786.985,2235229.0,1786985.0
,,,179.751.893,153.955.992,179751893.0,153955992.0
