row_label_raw,row_label_full,col_0,Năm 2023Triệu VND,Năm 2022Triệu VND,numeric__Năm 2023Triệu VND,numeric__Năm 2022Triệu VND
Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,,
Chi phí lãi tiền gửi,Công ty Cổ phần Thăng Long GTC > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,21.376,17.703,21376.0,17703.0
Thu nhập từ phí bảo lãnh,Công ty Cổ phần Thăng Long GTC > Thu nhập từ phí bảo lãnh,Thu nhập từ phí bảo lãnh,7,-,7.0,
Công ty Cổ phần Tập đoàn BRG và các công ty con,Công ty Cổ phần Tập đoàn BRG và các công ty con,Công ty Cổ phần Tập đoàn BRG và các công ty con,Công ty Cổ phần Tập đoàn BRG và các công ty con,Công ty Cổ phần Tập đoàn BRG và các công ty con,,
Chi phí lãi tiền gửi,Công ty Cổ phần Tập đoàn BRG và các công ty con > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,23.929,15.539,23929.0,15539.0
Thu nhập từ phí bảo lãnh,Công ty Cổ phần Tập đoàn BRG và các công ty con > Thu nhập từ phí bảo lãnh,Thu nhập từ phí bảo lãnh,9.110,11.641,9110.0,11641.0
Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con,Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con,Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con,Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con,Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con,,
Chi phí lãi tiền gửi,Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,194.371,105.525,194371.0,105525.0
Thu nhập lãi cho vay,Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con > Thu nhập lãi cho vay,Thu nhập lãi cho vay,-,51,,51.0
Thu nhập từ phí bảo lãnh,Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con > Thu nhập từ phí bảo lãnh,Thu nhập từ phí bảo lãnh,4,10,4.0,10.0
Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,,
Chi phí lãi tiền gửi,Công ty Cổ phần Cho thuê Máy bay Việt Nam > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,16.629,4.320,16629.0,4320.0
Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội,,
Chi phí lãi tiền gửi,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,153.742,82.472,153742.0,82472.0
