row_label_raw,row_label_full,col_0,Năm 2023Triệu VND,Năm 2022Triệu VND,numeric__Năm 2023Triệu VND,numeric__Năm 2022Triệu VND
Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,22.308,15.163,22308.0,15163.0
Chủ tịch HDQT,Chủ tịch HDQT,Chủ tịch HDQT,6.000,4.390,6000.0,4390.0
Phó chủ tịch thường trực HĐQT,Phó chủ tịch thường trực HĐQT,Phó chủ tịch thường trực HĐQT,5.400,3.510,5400.0,3510.0
Phó chủ tịch HĐQT chuyên trách,Phó chủ tịch HĐQT chuyên trách,Phó chủ tịch HĐQT chuyên trách,4.800,2.620,4800.0,2620.0
Phó Chủ tịch HĐQT,Phó Chủ tịch HĐQT,Phó Chủ tịch HĐQT,2.319,1.080,2319.0,1080.0
Ngô Thị Nhải - thành viên HDQT,Ngô Thị Nhải - thành viên HDQT,Ngô Thị Nhải - thành viên HDQT,1.297,1.188,1297.0,1188.0
Mathew Nevil Welch - thành viên HĐQT,Mathew Nevil Welch - thành viên HĐQT,Mathew Nevil Welch - thành viên HĐQT,1.184,800,1184.0,800.0
Fergus Mardonald Clark - thành viên HĐQT độc lập,Fergus Mardonald Clark - thành viên HĐQT độc lập,Fergus Mardonald Clark - thành viên HĐQT độc lập,948,-,948.0,
Hoàng Minh Tân - thành viên HĐQT,Hoàng Minh Tân - thành viên HĐQT,Hoàng Minh Tân - thành viên HĐQT,180,540,180.0,540.0
Bùi Trung Kiên - thành viên HĐQT,Bùi Trung Kiên - thành viên HĐQT,Bùi Trung Kiên - thành viên HĐQT,180,540,180.0,540.0
Mr Faussier Loic Michel Marc,Mr Faussier Loic Michel Marc,Mr Faussier Loic Michel Marc,-,495,,495.0
Thù lao của Ban Kiểm soát,Thù lao của Ban Kiểm soát,Thù lao của Ban Kiểm soát,3.846,2.160,3846.0,2160.0
"Tiền lương, thưởng và phúc lợi khác của Tổng giám đốc và người quản lý khác","Tiền lương, thưởng và phúc lợi khác của Tổng giám đốc và người quản lý khác","Tiền lương, thưởng và phúc lợi khác của Tổng giám đốc và người quản lý khác",31.497,29.083,31497.0,29083.0
