row_label_raw,row_label_full,STT,CHỈ TIÊU,Năm 2023Triệu VND,Năm 2022Triệu VND,numeric__CHỈ TIÊU,numeric__Năm 2023Triệu VND,numeric__Năm 2022Triệu VND
,,,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01.,01.,01.,Mua sắm tài sản cố định,(310.061),(296.243),,-310061.0,-296243.0
02.,02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",29,-,,29.0,
04.,04.,04.,Mua sắm bát động sản đầu tư,-,(27),,,-27.0
05.,05.,05.,"Tiền thu từ bán, thanh lý bát động sản đầu tư",5.276,6.744,,5276.0,6744.0
08.,08.,08.,"Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",-,24.102,,,24102.0
09.,09.,09.,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn",14.384,7.937,,14384.0,7937.0
II.,II.,II.,Lưu chuyển tiền thuần từ hoạt động đầu tư,(290.372),(257.487),,-290372.0,-257487.0
,,,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01.,01.,01.,Tăng vốn cổ phần từ phát hành cổ phiếu,504.000,3.610.673,,504000.0,3610673.0
III.,III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,504.000,3.610.673,,504000.0,3610673.0
IV.,IV.,IV.,Lưu chuyển tiền thuần trong năm,(2.867.905),11.218.243,,-2867905.0,11218243.0
V.,V.,V.,Tiền và các khoản tương đương tiền đầu năm,52.327.123,41.108.880,,52327123.0,41108880.0
VII.,VII.,VII.,Tiền và các khoản tương đương tiền cuối năm(Thuyết minh V.33),49.459.218,52.327.123,,49459218.0,52327123.0
