row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,31/12/2023 Triệu VND,31/12/2022 Triệu VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2023 Triệu VND,numeric__31/12/2022 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt và vàng,V.1,851.299,1.037.807,,,851299.0,1037807.0
II,A > II,II,"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNNVN"")",V.2,2.799.895,9.826.851,,,2799895.0,9826851.0
III,A > III,III,"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",V.3,48.698.574,45.068.410,,,48698574.0,45068410.0
1,A > 1,1,Tiền gửi tại các TCTD khác,,45.808.024,41.462.465,,,45808024.0,41462465.0
2,A > 2,2,Cho vay các TCTD khác,,2.890.550,3.605.945,,,2890550.0,3605945.0
IV,A > IV,IV,Chứng khoán kinh doanh,V.4,8.353.236,3.987.085,,,8353236.0,3987085.0
1,A > 1,1,Chứng khoán kinh doanh,,8.353.236,3.987.085,,,8353236.0,3987085.0
VI,A > VI,VI,Cho vay khách hàng,,176.773.874,151.522.983,,,176773874.0,151522983.0
1,A > 1,1,Cho vay khách hàng,V.5,179.751.893,153.955.992,,,179751893.0,153955992.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,V.6,(2.978.019),(2.433.009),,,-2978019.0,-2433009.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,14.286.766,8.646.945,,,14286766.0,8646945.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,V.7a,14.035.545,7.951.304,,,14035545.0,7951304.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,V.7b,350.458,715.458,,,350458.0,715458.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,V.7c,(99.237),(19.817),,,-99237.0,-19817.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",V.8,61.892,61.313,,,61892.0,61313.0
4,A > 4,4,Đầu tư dài hạn khác,,62.432,62.432,,,62432.0,62432.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(540),(1.119),,,-540.0,-1119.0
X,A > X,X,"Tài sản cố định (""TSCĐ"")",,1.269.298,1.085.692,,,1269298.0,1085692.0
1,A > 1,1,Tài sản cố định hữu hình,V.9,551.265,427.189,,,551265.0,427189.0
,,,- Nguyên giá TSCĐ,,1.082.873,877.679,,,1082873.0,877679.0
,,,- Hao mòn TSCĐ,,(531.608),(450.490),,,-531608.0,-450490.0
3,A > 3,3,Tài sản cố định vô hình,V.10,718.033,658.503,,,718033.0,658503.0
,,,- Nguyên giá TSCĐ,,955.941,854.399,,,955941.0,854399.0
,,,- Hao mòn TSCĐ,,(237.908),(195.896),,,-237908.0,-195896.0
XI,A > XI,XI,"Bất động sản đầu tư (""BĐSĐT"")",V.11,56.584,58.047,,,56584.0,58047.0
,,,- Nguyên giá BĐSĐT,,64.177,64.466,,,64177.0,64466.0
,,,- Hao mòn BĐSĐT,,(7.593),(6.419),,,-7593.0,-6419.0
XII,A > XII,XII,Tài sản Có khác,V.12,12.970.497,10.127.923,,,12970497.0,10127923.0
1,A > 1,1,Các khoản phải thu,,7.092.858,5.490.462,,,7092858.0,5490462.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,3.318.857,2.594.093,,,3318857.0,2594093.0
4,A > 4,4,Tài sản Có khác,,2.588.785,2.083.798,,,2588785.0,2083798.0
,,,- Trong đó: Lợi thế thương mại,V.13,338.226,409.431,,,338226.0,409431.0
5,A > 5,5,Dự phòng rủi ro cho tài sản Có nội bảng khác,,(30.003),(40.430),,,-30003.0,-40430.0
,,,TỔNG TÀI SẢN,,266.121.915,231.423.056,,,266121915.0,231423056.0
