row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,Năm 2017 VND,Năm 2016 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2017 VND,numeric__Năm 2016 VND
1. Doanh thu bán hàng & cung cấp dịch vụ,1. Doanh thu bán hàng & cung cấp dịch vụ,1. Doanh thu bán hàng & cung cấp dịch vụ,01,26,7.336.457.993.167,6.855.587.472.908,1.0,26.0,7336457993167.0,6855587472908.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,27,35.650.775.364,34.250.885.744,2.0,27.0,35650775364.0,34250885744.0
3. Doanh thu thuần về bán hàng & cc dịch vụ,3. Doanh thu thuần về bán hàng & cc dịch vụ,3. Doanh thu thuần về bán hàng & cc dịch vụ,10,,7.300.807.217.803,6.821.336.587.164,10.0,,7300807217803.0,6821336587164.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,28,5.346.778.629.319,4.567.241.681.619,11.0,28.0,5346778629319.0,4567241681619.0
5. Lợi nhuận gộp về bán hàng & cc dịch vụ,5. Lợi nhuận gộp về bán hàng & cc dịch vụ,5. Lợi nhuận gộp về bán hàng & cc dịch vụ,20,,1.954.028.588.484,2.254.094.905.545,20.0,,1954028588484.0,2254094905545.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,29,74.689.481.658,163.424.413.395,21.0,29.0,74689481658.0,163424413395.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,30,78.015.189.109,76.588.651.282,22.0,30.0,78015189109.0,76588651282.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,76.532.882.170,69.616.614.945,23.0,,76532882170.0,69616614945.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,31.a,660.168.825.227,698.898.105.737,25.0,,660168825227.0,698898105737.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,31.b,140.822.611.518,38.589.566.167,26.0,,140822611518.0,38589566167.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,1.149.711.444.288,1.603.442.995.754,30.0,,1149711444288.0,1603442995754.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,32,28.722.269.123,33.361.566.489,31.0,32.0,28722269123.0,33361566489.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,33,2.530.198.007,2.759.106.355,32.0,33.0,2530198007.0,2759106355.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,,26.192.071.116,30.602.460.134,40.0,,26192071116.0,30602460134.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,1.175.903.515.404,1.634.045.455.888,50.0,,1175903515404.0,1634045455888.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,34,111.420.706.857,132.996.216.010,51.0,34.0,111420706857.0,132996216010.0
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,,98.213.466,(98.213.466),52.0,,98213466.0,-98213466.0
17. Lợi nhuận sau thuế TNDN,17. Lợi nhuận sau thuế TNDN,17. Lợi nhuận sau thuế TNDN,60,,1.064.384.595.081,1.501.147.453.344,60.0,,1064384595081.0,1501147453344.0
