row_label_raw,row_label_full,col_0,Đầu năm,Tăng trong năm,Giảm trong năm,Cuối năm,numeric__Đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Cuối năm
Vay dài hạn,Vay dài hạn,Vay dài hạn,28.436.984.773,-,25.829.095.201,2.607.889.572,28436984773.0,,25829095201.0,2607889572.0
- Ngân hàng Đầu tư và PT Quảng Ngãi,- Ngân hàng Đầu tư và PT Quảng Ngãi,- Ngân hàng Đầu tư và PT Quảng Ngãi,2.059.218.676,-,1.061.543.344,997.675.332,2059218676.0,,1061543344.0,997675332.0
- Ngân hàng Công Thương Quảng Ngãi,- Ngân hàng Công Thương Quảng Ngãi,- Ngân hàng Công Thương Quảng Ngãi,1.993.266.100,-,1.000.000.000,993.266.100,1993266100.0,,1000000000.0,993266100.0
- Ngân hàng NN&PTNT Quảng Ngãi,- Ngân hàng NN&PTNT Quảng Ngãi,- Ngân hàng NN&PTNT Quảng Ngãi,1.233.896.278,-,616.948.138,616.948.140,1233896278.0,,616948138.0,616948140.0
- Ngân hàng Phát triển Quảng Ngãi,- Ngân hàng Phát triển Quảng Ngãi,- Ngân hàng Phát triển Quảng Ngãi,23.150.603.719,-,23.150.603.719,-,23150603719.0,,23150603719.0,
Nợ thuê tài chính,Nợ thuê tài chính,Nợ thuê tài chính,274.877.261.156,-,63.898.797.407,210.978.463.749,274877261156.0,,63898797407.0,210978463749.0
- AB Svensk Exportkredit,- AB Svensk Exportkredit,- AB Svensk Exportkredit,274.877.261.156,,63.898.797.407,210.978.463.749,274877261156.0,,63898797407.0,210978463749.0
Cộng,Cộng,Cộng,303.314.245.929,-,89.727.892.608,213.586.353.321,303314245929.0,,89727892608.0,213586353321.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
- Vay dài hạn đến hạn trả trong vòng 1 năm,Trong đó: > - Vay dài hạn đến hạn trả trong vòng 1 năm,- Vay dài hạn đến hạn trả trong vòng 1 năm,25.797.161.201,,,2.607.889.572,25797161201.0,,,2607889572.0
- Nợ thuê tài chính đến hạn,Trong đó: > - Nợ thuê tài chính đến hạn,- Nợ thuê tài chính đến hạn,64.072.788.922,,,65.807.004.043,64072788922.0,,,65807004043.0
Vay và nợ thuê tài chính dài hạn,Trong đó: > Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,213.444.295.806,,,145.171.459.706,213444295806.0,,,145171459706.0
