row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2017 VND,Năm 2016 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2017 VND,numeric__Năm 2016 VND
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,1.175.903.515.404,1.634.045.455.888,1.0,,1175903515404.0,1634045455888.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,
- Khấu hao Tài sản cố định và phân bổ tiền thuê đất,2. Điều chỉnh cho các khoản > - Khấu hao Tài sản cố định và phân bổ tiền thuê đất,- Khấu hao Tài sản cố định và phân bổ tiền thuê đất,02,"13,14,15",413.870.965.259,323.835.336.350,2.0,,413870965259.0,323835336350.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,,1.252.977.001,749.678.936,3.0,,1252977001.0,749678936.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,(314.435.212),3.437.640.283,4.0,,-314435212.0,3437640283.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,,(57.615.000.289),(147.069.040.553),5.0,,-57615000289.0,-147069040553.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,32,76.532.882.170,69.616.614.945,6.0,32.0,76532882170.0,69616614945.0
- Các khoản điều chỉnh khác,2. Điều chỉnh cho các khoản > - Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,07,,-,(90.000.000.000),7.0,,,-90000000000.0
3. Lợi nhuận từ HĐKD trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ HĐKD trước thay đổi vốn lưu động,3. Lợi nhuận từ HĐKD trước thay đổi vốn lưu động,08,,1.609.630.904.333,1.794.615.685.849,8.0,,1609630904333.0,1794615685849.0
