row_label_raw,row_label_full,31/12/2017,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,527.781.193.851,-,527.781.193.851,527781193851.0,,527781193851.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,751.000.000.000,-,751.000.000.000,751000000000.0,,751000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,18.503.012.024,-,18.503.012.024,18503012024.0,,18503012024.0
Phải thu khác,Phải thu khác,Phải thu khác,766.220.086.912,690.181.497,766.910.268.409,766220086912.0,690181497.0,766910268409.0
Cộng,Cộng,Cộng,2.063.504.292.787,690.181.497,2.064.194.474.284,2063504292787.0,690181497.0,2064194474284.0
01/01/2017,01/01/2017,01/01/2017,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2017 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,134.921.093.360,-,134.921.093.360,134921093360.0,,134921093360.0
Đầu tư nằm giữ đến ngày đáo hạn,01/01/2017 > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,555.000.000.000,-,555.000.000.000,555000000000.0,,555000000000.0
Phải thu khách hàng,01/01/2017 > Phải thu khách hàng,Phải thu khách hàng,18.450.373.935,-,18.450.373.935,18450373935.0,,18450373935.0
Phải thu khác,01/01/2017 > Phải thu khác,Phải thu khác,790.415.634.513,690.181.497,791.105.816.010,790415634513.0,690181497.0,791105816010.0
Cộng,01/01/2017 > Cộng,Cộng,1.498.787.101.808,690.181.497,1.499.477.283.305,1498787101808.0,690181497.0,1499477283305.0
