row_label_raw,row_label_full,Báo cáo bộ phân theo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sữa đậu nành,Sản phẩm Sữa đậu nành_1,Khác,Khác_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sữa đậu nành,numeric__Sản phẩm Sữa đậu nành_1,numeric__Khác,numeric__Khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Năm 2017,Năm 2016,Năm 2017,Năm 2016,Năm 2017,Năm 2016,Năm 2017,Năm 2016,,,,,,,,
Doanh thu bộ phân,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu bộ phân,Doanh thu bộ phân,1.867.155.971.510,1.465.715.960.504,3.885.376.251.685,3.682.753.579.299,1.548.274.994.608,1.672.867.047.361,7.300.807.217.803,6.821.336.587.164,1867155971510.0,1465715960504.0,3885376251685.0,3682753579299.0,1548274994608.0,1672867047361.0,7300807217803.0,6821336587164.0
Giá vốn bộ phân,Báo cáo bộ phân theo hoạt động kinh doanh > Giá vốn bộ phân,Giá vốn bộ phân,1.805.916.264.990,1.151.062.148.530,2.363.351.099.714,2.200.798.930.738,1.177.511.264.615,1.215.380.602.351,5.346.778.629.319,4.567.241.681.619,1805916264990.0,1151062148530.0,2363351099714.0,2200798930738.0,1177511264615.0,1215380602351.0,5346778629319.0,4567241681619.0
Lợi nhuận gộp,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,61.239.706.520,314.653.811.974,1.522.025.151.971,1.481.954.648.561,370.763.729.993,457.486.445.010,1.954.028.588.484,2.254.094.905.545,61239706520.0,314653811974.0,1522025151971.0,1481954648561.0,370763729993.0,457486445010.0,1954028588484.0,2254094905545.0
Doanh thu hoạt động tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,74.689.481.658,163.424.413.395,,,,,,,74689481658.0,163424413395.0
Chi phí tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,78.015.189.109,76.588.651.282,,,,,,,78015189109.0,76588651282.0
Chi phí bán hàng,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,660.168.825.227,698.898.105.737,,,,,,,660168825227.0,698898105737.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,140.822.611.518,38.589.566.167,,,,,,,140822611518.0,38589566167.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,1.149.711.444.288,1.603.442.995.754,,,,,,,1149711444288.0,1603442995754.0
Thu nhập khác,Báo cáo bộ phân theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,28.722.269.123,33.361.566.489,,,,,,,28722269123.0,33361566489.0
Chi phí khác,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,2.530.198.007,2.759.106.355,,,,,,,2530198007.0,2759106355.0
Lợi nhuận khác,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,26.192.071.116,30.602.460.134,,,,,,,26192071116.0,30602460134.0
Lợi nhuận trước thuế,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,1.175.903.515.404,1.634.045.455.888,,,,,,,1175903515404.0,1634045455888.0
Thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,111.518.920.323,132.898.002.544,,,,,,,111518920323.0,132898002544.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,1.064.384.595.081,1.501.147.453.344,,,,,,,1064384595081.0,1501147453344.0
