row_label_raw,row_label_full,31/12/2017,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,539.578.520.767,-,539.578.520.767,539578520767.0,,539578520767.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,1.497.281.684,-,1.497.281.684,1497281684.0,,1497281684.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.404.083.049.153,145.171.459.706,1.549.254.508.859,1404083049153.0,145171459706.0,1549254508859.0
Phải trả khác,Phải trả khác,Phải trả khác,134.263.989.796,9.644.281.412,143.908.271.208,134263989796.0,9644281412.0,143908271208.0
Cộng,Cộng,Cộng,2.079.422.841.400,154.815.741.118,2.234.238.582.518,2079422841400.0,154815741118.0,2234238582518.0
01/01/2017,01/01/2017,01/01/2017,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2017 > Phải trả người bán,Phải trả người bán,475.095.330.790,-,475.095.330.790,475095330790.0,,475095330790.0
Chỉ phí phải trả,01/01/2017 > Chỉ phí phải trả,Chỉ phí phải trả,1.442.907.348,-,1.442.907.348,1442907348.0,,1442907348.0
Vay và nợ thuê tài chính,01/01/2017 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.178.137.352.767,213.444.295.806,1.391.581.648.573,1178137352767.0,213444295806.0,1391581648573.0
Phải trả khác,01/01/2017 > Phải trả khác,Phải trả khác,12.637.274.021,8.260.419.134,20.897.693.155,12637274021.0,8260419134.0,20897693155.0
Cộng,01/01/2017 > Cộng,Cộng,1.667.312.864.926,221.704.714.940,1.889.017.579.866,1667312864926.0,221704714940.0,1889017579866.0
