row_label_raw,row_label_full,31/12/2017,Tài sân cúa bó phân > Nguyên giá TSCD HH,Tài sân cúa bó phân > Hao mòn luy ké,Tài sân cúa bó phân > Noy phai thu,Tài sân cúa bó phân > Tõng tài sân,Tài sân cúa bó phân > Noy phai trã,Khái hao TSCD Nám 2017,numeric__Tài sân cúa bó phân > Nguyên giá TSCD HH,numeric__Tài sân cúa bó phân > Hao mòn luy ké,numeric__Tài sân cúa bó phân > Noy phai thu,numeric__Tài sân cúa bó phân > Tõng tài sân,numeric__Tài sân cúa bó phân > Noy phai trã,numeric__Khái hao TSCD Nám 2017
Hoàt dōng SXKD sân pham Duong,Hoàt dōng SXKD sân pham Duong,Hoàt dōng SXKD sân pham Duong,2.941.366.421.984,(1.249.877.545.753),231.050.668.220,2.075.179.578.851,27.098.814.736,159.790.125.605,2941366421984.0,-1249877545753.0,231050668220.0,2075179578851.0,27098814736.0,159790125605.0
Hoàt dōng SXKD sân pham Sua dau nanh,Hoàt dōng SXKD sân pham Sua dau nanh,Hoàt dōng SXKD sân pham Sua dau nanh,1.269.019.466.481,(792.851.314.030),19.673.938.436,1.108.745.827.696,431.026.803.777,198.000.000.000,1269019466481.0,-792851314030.0,19673938436.0,1108745827696.0,431026803777.0,198000000000.0
Hoàt dōng SXKD khac,Hoàt dōng SXKD khac,Hoàt dōng SXKD khac,1.186.663.603.816,(806.750.221.657),791.082.467.179,4.570.929.940.836,2.062.976.286.250,51.392.964.337,1186663603816.0,-806750221657.0,791082467179.0,4570929940836.0,2062976286250.0,51392964337.0
Tǒng cóng,Tǒng cóng,Tǒng cóng,5.397.049.492.281,(2.849.479.081.440),1.041.807.073.835,7.754.855.347.383,2.521.101.904.763,409.183.089.942,5397049492281.0,-2849479081440.0,1041807073835.0,7754855347383.0,2521101904763.0,409183089942.0
01/01/2017,01/01/2017,01/01/2017,Tài sân cúa bó phân,Tài sân cúa bó phân,Tài sân cúa bó phân,Tài sân cúa bó phân,Tài sân cúa bó phân,Khái hao TSCD Nám 2016,,,,,,
01/01/2017,01/01/2017,01/01/2017,Nguyên giá TSCD HH,Hao mòn luy ké,Noy phai thu,Tõng tài sân,Noy phai trã,Khái hao TSCD Nám 2016,,,,,,
Hoàt dōng SXKD sân pham Duong,01/01/2017 > Hoàt dōng SXKD sân pham Duong,Hoàt dōng SXKD sân pham Duong,1.828.619.697.657,(1.090.885.210.682),223.490.328.971,1.156.812.768.961,28.396.348.174,112.419.252.973,1828619697657.0,-1090885210682.0,223490328971.0,1156812768961.0,28396348174.0,112419252973.0
Hoàt dōng SXKD sân pham Sua dau nanh,01/01/2017 > Hoàt dōng SXKD sân pham Sua dau nanh,Hoàt dōng SXKD sân pham Sua dau nanh,1.170.867.579.528,(678.903.580.717),45.011.022.295,1.326.871.556.961,504.288.703.875,163.000.000.000,1170867579528.0,-678903580717.0,45011022295.0,1326871556961.0,504288703875.0,163000000000.0
Hoàt dōng SXKD khac,01/01/2017 > Hoàt dōng SXKD khac,Hoàt dōng SXKD khac,1.049.583.993.540,(757.292.416.633),904.768.166.682,4.420.882.966.223,1.663.262.279.057,43.224.589.157,1049583993540.0,-757292416633.0,904768166682.0,4420882966223.0,1663262279057.0,43224589157.0
Tǒng cóng,01/01/2017 > Tǒng cóng,Tǒng cóng,4.049.071.270.725,(2.527.081.208.032),1.173.269.517.948,6.904.567.292.145,2.195.947.331.106,318.643.842.130,4049071270725.0,-2527081208032.0,1173269517948.0,6904567292145.0,2195947331106.0,318643842130.0
