row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Số đã trình bàyVND,Số trình bày lạiVND,Thay đổiVND,numeric__Mã số,numeric__Số đã trình bàyVND,numeric__Số trình bày lạiVND,numeric__Thay đổiVND
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,7.447.536.474.048,7.475.607.050.712,28.070.576.664,1.0,7447536474048.0,7475607050712.0,28070576664.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,02,3.951.596.741.226,3.871.023.028.608,(80.573.712.618),2.0,3951596741226.0,3871023028608.0,-80573712618.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,10.557.403.845.441,10.504.900.709.487,(52.503.135.954),8.0,10557403845441.0,10504900709487.0,-52503135954.0
Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,09,(178.126.827.342),(194.788.897.275),(16.662.069.933),9.0,-178126827342.0,-194788897275.0,-16662069933.0
Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,10,(62.018.122.394),(61.953.830.122),64.292.272,10.0,-62018122394.0,-61953830122.0,64292272.0
Thay đổi các khoản phải trả,Thay đổi các khoản phải trả,Thay đổi các khoản phải trả,11,371.350.003.927,429.356.656.343,58.006.652.416,11.0,371350003927.0,429356656343.0,58006652416.0
Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,12,(23.334.839.719),(24.013.614.163),(678.774.444),12.0,-23334839719.0,-24013614163.0,-678774444.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,7.901.788.940.140,7.890.015.904.497,(11.773.035.643),20.0,7901788940140.0,7890015904497.0,-11773035643.0
"Tiền chi mua sắm, xây dựng tài sản cố định","Tiền chi mua sắm, xây dựng tài sản cố định","Tiền chi mua sắm, xây dựng tài sản cố định",21,(2.018.938.692.238),(2.007.165.656.595),11.773.035.643,21.0,-2018938692238.0,-2007165656595.0,11773035643.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(6.706.406.866.272),(6.694.633.830.629),11.773.035.643,30.0,-6706406866272.0,-6694633830629.0,11773035643.0
