row_label_raw,row_label_full,Giá trị nguyên giá tạm tăng tài sản cố định > Giá trị tạm tăng sửa chữa lớn tài sản,Số cuối nămVND > 579.121.633.173 > 80.047.316.295,Số đầu năm(Trình bày lại)VND > 670.376.715.835 > 70.848.345.464,numeric__Số cuối nămVND > 579.121.633.173 > 80.047.316.295,numeric__Số đầu năm(Trình bày lại)VND > 670.376.715.835 > 70.848.345.464
"Tiền thuế đất, thuê đất","Tiền thuế đất, thuê đất","Tiền thuế đất, thuê đất",76.784.406.419,82.270.960.768,76784406419.0,82270960768.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,28.336.466.163,28.604.061.808,28336466163.0,28604061808.0
Chi phí mua sắm tài sản,Chi phí mua sắm tài sản,Chi phí mua sắm tài sản,10.623.536.000,-,10623536000.0,
Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,7.016.464.960,5.254.315.484,7016464960.0,5254315484.0
Chi phí bay hiệu chuẩn,Chi phí bay hiệu chuẩn,Chi phí bay hiệu chuẩn,3.318.505.500,7.015.872.276,3318505500.0,7015872276.0
Chi phí dịch vụ vệ sinh,Chi phí dịch vụ vệ sinh,Chi phí dịch vụ vệ sinh,2.768.184.153,3.043.982.214,2768184153.0,3043982214.0
Tiền nước sinh hoạt,Tiền nước sinh hoạt,Tiền nước sinh hoạt,1.641.700.064,1.367.495.683,1641700064.0,1367495683.0
Tiền điện,Tiền điện,Tiền điện,1.839.580.249,1.784.134.621,1839580249.0,1784134621.0
"Chi phí dịch vụ BHS, sita","Chi phí dịch vụ BHS, sita","Chi phí dịch vụ BHS, sita",1.439.640.000,240.000.000,1439640000.0,240000000.0
Chi phí bồi dưỡng độc hại,Chi phí bồi dưỡng độc hại,Chi phí bồi dưỡng độc hại,798.006.669,1.773.651.181,798006669.0,1773651181.0
"Cước điện thoại, thông tin liên lạc","Cước điện thoại, thông tin liên lạc","Cước điện thoại, thông tin liên lạc",409.682.146,910.078.810,409682146.0,910078810.0
Chi phí đo đặc địa chính 21 Cảng,Chi phí đo đặc địa chính 21 Cảng,Chi phí đo đặc địa chính 21 Cảng,-,2.409.446.127,,2409446127.0
Chi phí khác,Chi phí khác,Chi phí khác,1.402.062.212,8.009.341.246,1402062212.0,8009341246.0
,,,795.547.184.003,883.908.401.517,795547184003.0,883908401517.0
