row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Đơn vị: VND Năm trước (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị: VND Năm trước (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,26,18.367.881.073.149,16.144.450.291.705,1.0,26.0,18367881073149.0,16144450291705.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,26,35.801.143.529,18.064.056.201,2.0,26.0,35801143529.0,18064056201.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,26,18.332.079.929.620,16.126.386.235.504,10.0,26.0,18332079929620.0,16126386235504.0
4. Giá vốn hàng bán và cung cấp dịch vụ,4. Giá vốn hàng bán và cung cấp dịch vụ,4. Giá vốn hàng bán và cung cấp dịch vụ,11,27,9.041.597.356.641,8.341.818.698.045,11.0,27.0,9041597356641.0,8341818698045.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,9.290.482.572.979,7.784.567.537.459,20.0,,9290482572979.0,7784567537459.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,29,2.158.135.375.700,1.591.438.129.076,21.0,29.0,2158135375700.0,1591438129076.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,30,103.842.775.190,755.865.128.377,22.0,30.0,103842775190.0,755865128377.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,96.418.310.786,95.084.582.355,23.0,,96418310786.0,95084582355.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,31,379.134.439.315,340.121.610.771,25.0,31.0,379134439315.0,340121610771.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,32,996.901.784.705,869.279.324.134,26.0,32.0,996901784705.0,869279324134.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,9.968.738.949.469,7.410.739.603.253,30.0,,9968738949469.0,7410739603253.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,33,8.204.273.168,85.413.466.757,31.0,33.0,8204273168.0,85413466757.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,34,900.312.839,20.546.019.298,32.0,34.0,900312839.0,20546019298.0
13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),40,,7.303.960.329,64.867.447.459,40.0,,7303960329.0,64867447459.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,9.976.042.909.798,7.475.607.050.712,50.0,,9976042909798.0,7475607050712.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,35,1.925.768.717.767,1.442.874.917.570,51.0,35.0,1925768717767.0,1442874917570.0
16. Chi phí/(Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,16. Chi phí/(Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,16. Chi phí/(Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,,7.647.328.321,(18.025.347.574),52.0,,7647328321.0,-18025347574.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,8.042.626.863.710,6.050.757.480.716,60.0,,8042626863710.0,6050757480716.0
