row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước(Trình bày lại),numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Tiền chi mua lại cổ phiếu đã phát hành,32,(1.713.480.000),(572.470.000),,32.0,-1713480000.0,-572470000.0
2.,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền thu từ đi vay,33,-,234.180.466.916,,33.0,,234180466916.0
3.,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,Tiền trả nợ gốc vay,34,(154.993.814.113),(149.492.654.048),,34.0,-154993814113.0,-149492654048.0
4.,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(1.959.254.858.400),(1.959.379.265.070),,36.0,-1959254858400.0,-1959379265070.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(2.115.962.152.513),(1.875.263.922.202),,40.0,-2115962152513.0,-1875263922202.0
,,,Lưu chuyển tiền thuần trong năm(50=20+30+40),50,(283.961.032.713),(679.881.848.334),,50.0,-283961032713.0,-679881848334.0
,,,Tiền và tương đương tiền đầu năm,60,627.594.542.751,1.307.839.261.177,,60.0,627594542751.0,1307839261177.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(1.062.001),(362.870.092),,61.0,-1062001.0,-362870092.0
,,,Tiền và tương đương tiền cuối năm(70=50+60+61),70,343.632.448.037,627.594.542.751,,70.0,343632448037.0,627594542751.0
