row_label_raw,row_label_full,col_0,Bản quyềnVND,Phần mềmmáy tínhVND,KhácVND,TổngVND,numeric__Bản quyềnVND,numeric__Phần mềmmáy tínhVND,numeric__KhácVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,2.661.339.000,15.549.112.988,170.000.000,18.380.451.988,2661339000.0,15549112988.0,170000000.0,18380451988.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,2.978.534.294,-,2.978.534.294,,2978534294.0,,2978534294.0
Thanh lý,NGUYÊN GIÁ > Thanh lý,Thanh lý,-,(200.000.000),-,(200.000.000),,-200000000.0,,-200000000.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,2.661.339.000,18.327.647.282,170.000.000,21.158.986.282,2661339000.0,18327647282.0,170000000.0,21158986282.0
GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,,,,
Số đầu năm,GIÁ TRỊ HAO MÒNLỦY KẾ > Số đầu năm,Số đầu năm,2.649.147.028,12.392.295.527,170.000.000,15.211.442.555,2649147028.0,12392295527.0,170000000.0,15211442555.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒNLỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,12.191.972,1.388.913.576,-,1.401.105.548,12191972.0,1388913576.0,,1401105548.0
Thanh lý,GIÁ TRỊ HAO MÒNLỦY KẾ > Thanh lý,Thanh lý,-,(200.000.000),-,(200.000.000),,-200000000.0,,-200000000.0
Số cuối năm,GIÁ TRỊ HAO MÒNLỦY KẾ > Số cuối năm,Số cuối năm,2.661.339.000,13.581.209.103,170.000.000,16.412.548.103,2661339000.0,13581209103.0,170000000.0,16412548103.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,12.191.972,3.156.817.461,-,3.169.009.433,12191972.0,3156817461.0,,3169009433.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,-,4.746.438.179,-,4.746.438.179,,4746438179.0,,4746438179.0
