row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,37.191.002.727.354,31.166.920.797.463,100.0,,37191002727354.0,31166920797463.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,343.632.448.037,627.594.542.751,110.0,5.0,343632448037.0,627594542751.0
1. Tiền,1. Tiền,1. Tiền,111,,343.632.448.037,627.594.542.751,111.0,,343632448037.0,627594542751.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,30.840.000.000.000,23.640.000.000.000,120.0,,30840000000000.0,23640000000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,6,30.840.000.000.000,23.640.000.000.000,123.0,6.0,30840000000000.0,23640000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,5.354.547.107.967,6.151.812.981.821,130.0,,5354547107967.0,6151812981821.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,2.648.188.958.368,2.490.140.777.228,131.0,7.0,2648188958368.0,2490140777228.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,229.558.536.099,382.641.519.206,132.0,8.0,229558536099.0,382641519206.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,2.506.693.472.409,3.308.941.968.296,136.0,9.0,2506693472409.0,3308941968296.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,10,(29.893.858.909),(29.911.282.909),137.0,10.0,-29893858909.0,-29911282909.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,11,488.114.527.859,464.646.407.159,140.0,11.0,488114527859.0,464646407159.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,488.114.527.859,464.646.407.159,141.0,,488114527859.0,464646407159.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,164.708.643.491,282.866.865.732,150.0,,164708643491.0,282866865732.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,12,23.596.124.206,28.769.542.579,151.0,12.0,23596124206.0,28769542579.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,129.851.258.462,190.948.883.103,152.0,,129851258462.0,190948883103.0
3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,153,19,11.261.260.823,63.148.440.050,153.0,19.0,11261260823.0,63148440050.0
