row_label_raw,row_label_full,"Nhà xưởng, vật kiến trúc",5 - 25,numeric__5 - 25
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,3 - 8,
Phương tiện vận tải,Máy móc và thiết bị > Phương tiện vận tải,Phương tiện vận tải,6,6.0
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3 - 5,
