row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Số đã trình bày VND,Số trình bày lại VND,Thay đổi VND,numeric__Mã số,numeric__Số đã trình bày VND,numeric__Số trình bày lại VND,numeric__Thay đổi VND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,2.487.477.198.541,2.490.140.777.228,2.663.578.687,131.0,2487477198541.0,2490140777228.0,2663578687.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,3.281.985.199.932,3.308.941.968.296,26.956.768.364,136.0,3281985199932.0,3308941968296.0,26956768364.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,464.710.699.431,464.646.407.159,(64.292.272),141.0,464710699431.0,464646407159.0,-64292272.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,194.016.386.385,190.948.883.103,(3.067.503.282),152.0,194016386385.0,190948883103.0,-3067503282.0
Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,153,73.039.213.886,63.148.440.050,(9.890.773.836),153.0,73039213886.0,63148440050.0,-9890773836.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,18.330.907.616.614,18.399.563.376.317,68.655.759.703,221.0,18330907616614.0,18399563376317.0,68655759703.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,40.025.462.035.793,40.013.544.082.878,(11.917.952.915),222.0,40025462035793.0,40013544082878.0,-11917952915.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(21.694.554.419.179),(21.613.980.706.561),80.573.712.618,223.0,-21694554419179.0,-21613980706561.0,80573712618.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,591.404.310.929,591.549.228.201,144.917.272,242.0,591404310929.0,591549228201.0,144917272.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,69.359.805.005,70.038.579.449,678.774.444,261.0,69359805005.0,70038579449.0,678774444.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,70.673.936.832,138.060.032.685,67.386.095.853,313.0,70673936832.0,138060032685.0,67386095853.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,887.673.729.621,883.908.401.517,(3.765.328.104),315.0,887673729621.0,883908401517.0,-3765328104.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,5.922.369.007.961,5.944.825.469.292,22.456.461.331,421.0,5922369007961.0,5944825469292.0,22456461331.0
- Lợi nhuận sau thuế chưa phân phối năm này,- Lợi nhuận sau thuế chưa phân phối năm này,- Lợi nhuận sau thuế chưa phân phối năm này,421b,5.618.775.269.385,5.641.231.730.716,22.456.461.331,,5618775269385.0,5641231730716.0,22456461331.0
