row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị ghi số VND,Số cuối năm > Dự phòng VND,Số cuối năm > Tỉ lệ sở hữu,Số đầu năm > Giá trị ghi số VND,Số đầu năm > Dự phòng VND,Số đầu năm > Tỉ lệ sở hữu,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số cuối năm > Tỉ lệ sở hữu,numeric__Số đầu năm > Giá trị ghi số VND,numeric__Số đầu năm > Dự phòng VND,numeric__Số đầu năm > Tỉ lệ sở hữu
a. Đầu tư vào Công ty con,a. Đầu tư vào Công ty con,a. Đầu tư vào Công ty con,60.000.000.000,-,,60.000.000.000,-,,60000000000.0,,,60000000000.0,,
Công ty cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài,Công ty cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài,Công ty cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài,60.000.000.000,-,"60,00%",60.000.000.000,-,"60,00%",60000000000.0,,0.6,60000000000.0,,0.6
"b. Đầu tư vào Công ty liên doanh, liên kết","b. Đầu tư vào Công ty liên doanh, liên kết","b. Đầu tư vào Công ty liên doanh, liên kết",2.189.744.434.914,-,,2.189.744.434.914,-,,2189744434914.0,,,2189744434914.0,,
Công ty cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Công ty cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Công ty cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,1.585.201.640.000,-,"49,07%",1.585.201.640.000,-,"49,07%",1585201640000.0,,0.4907,1585201640000.0,,0.4907
Công ty cổ phần Phục vụ Mặt đất Sài Gòn,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,486.859.102.200,-,"48,03%",486.859.102.200,-,"48,01%",486859102200.0,,0.4803,486859102200.0,,0.48009999999999997
Công ty TNHH Dịch vụ Bảo dưỡng Máy bay Cảng hàng không Miền Nam (i),Công ty TNHH Dịch vụ Bảo dưỡng Máy bay Cảng hàng không Miền Nam (i),Công ty TNHH Dịch vụ Bảo dưỡng Máy bay Cảng hàng không Miền Nam (i),15.300.000.000,-,"51,00%",15.300.000.000,-,"51,00%",15300000000.0,,0.51,15300000000.0,,0.51
Công ty cổ phần Thương mại Hàng không Miền Nam,Công ty cổ phần Thương mại Hàng không Miền Nam,Công ty cổ phần Thương mại Hàng không Miền Nam,7.532.433.978,-,"29,53%",7.532.433.978,-,"29,53%",7532433978.0,,0.2953,7532433978.0,,0.2953
Công ty cổ phần Vận tải Hàng không Miền Nam,Công ty cổ phần Vận tải Hàng không Miền Nam,Công ty cổ phần Vận tải Hàng không Miền Nam,14.851.258.736,-,"30,00%",14.851.258.736,-,"30,00%",14851258736.0,,0.3,14851258736.0,,0.3
Công ty cổ phần Phục vụ Mặt đất Hà Nội,Công ty cổ phần Phục vụ Mặt đất Hà Nội,Công ty cổ phần Phục vụ Mặt đất Hà Nội,30.000.000.000,-,"20,00%",30.000.000.000,-,"20,00%",30000000000.0,,0.2,30000000000.0,,0.2
Công ty cổ phần Dịch Vụ Hàng hóa Hàng không Việt Nam,Công ty cổ phần Dịch Vụ Hàng hóa Hàng không Việt Nam,Công ty cổ phần Dịch Vụ Hàng hóa Hàng không Việt Nam,50.000.000.000,-,"20,00%",50.000.000.000,-,"20,00%",50000000000.0,,0.2,50000000000.0,,0.2
c. Đầu tư vào đơn vị khác,c. Đầu tư vào đơn vị khác,c. Đầu tư vào đơn vị khác,184.800.000.000,-,,184.800.000.000,1.300.000.000,,184800000000.0,,,184800000000.0,1300000000.0,
Công ty cổ phần Dịch vụ Hàng hóa Sài Gòn,Công ty cổ phần Dịch vụ Hàng hóa Sài Gòn,Công ty cổ phần Dịch vụ Hàng hóa Sài Gòn,75.000.000.000,-,"13,03%",75.000.000.000,-,"13,12%",75000000000.0,,0.1303,75000000000.0,,0.13119999999999998
Công ty cổ phần Đầu tư Khai thác Nhà ga Quốc tế Đà Nẵng,Công ty cổ phần Đầu tư Khai thác Nhà ga Quốc tế Đà Nẵng,Công ty cổ phần Đầu tư Khai thác Nhà ga Quốc tế Đà Nẵng,30.000.000.000,-,"10,00%",30.000.000.000,-,"10,00%",30000000000.0,,0.1,30000000000.0,,0.1
Công ty cổ phần Đầu tư TCP,Công ty cổ phần Đầu tư TCP,Công ty cổ phần Đầu tư TCP,19.800.000.000,-,"18,00%",19.800.000.000,1.300.000.000,"18,00%",19800000000.0,,0.18,19800000000.0,1300000000.0,0.18
Công ty cổ phần Nhà ga Quốc tế Cam Ranh,Công ty cổ phần Nhà ga Quốc tế Cam Ranh,Công ty cổ phần Nhà ga Quốc tế Cam Ranh,60.000.000.000,-,"10,00%",60.000.000.000,-,"10,00%",60000000000.0,,0.1,60000000000.0,,0.1
,,,2.434.544.434.914,-,,2.434.544.434.914,1.300.000.000,,2434544434914.0,,,2434544434914.0,1300000000.0,
