row_label_raw,row_label_full,col_0,Tỷ lệ,Số tiền,numeric__Tỷ lệ,numeric__Số tiền
,,,%,Triệu VND,,
Lợi nhuận sau thuế năm 2017,Lợi nhuận sau thuế năm 2017,Lợi nhuận sau thuế năm 2017,,585.616,,585616.0
Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,"16,00",93.699,16.0,93699.0
- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,"5,00",29.281,5.0,29281.0
- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,"10,00",58.562,10.0,58562.0
- Quỹ phúc lợi,- Quỹ phúc lợi,- Quỹ phúc lợi,"0,50",2.928,0.5,2928.0
- Quỹ khen thưởng,- Quỹ khen thưởng,- Quỹ khen thưởng,"0,50",2.928,0.5,2928.0
Thù lao HĐQT và BKS,Thù lao HĐQT và BKS,Thù lao HĐQT và BKS,"0,25",1.464,0.25,1464.0
Thường cổ phiếu cho CBCNV (*),Thường cổ phiếu cho CBCNV (*),Thường cổ phiếu cho CBCNV (*),"8,54",50.000,8.54,50000.0
"Chia cổ tức bằng cổ phiếu cho cổ đông (8,8% vốn điều lệ) (*)","Chia cổ tức bằng cổ phiếu cho cổ đông (8,8% vốn điều lệ) (*)","Chia cổ tức bằng cổ phiếu cho cổ đông (8,8% vốn điều lệ) (*)","75,21",440.453,75.21,440453.0
Lợi nhuận để lại,Lợi nhuận để lại,Lợi nhuận để lại,,-,,
