row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,Năm 2018 > Triệu VND,Năm 2017 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm 2018 > Triệu VND,numeric__Năm 2017 > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,22,7.588.026,6.812.157,,22.0,7588026.0,6812157.0
2,2,2,Chi phí lãi và các chi phí tương tự,23,(5.895.513),(5.155.361),,23.0,-5895513.0,-5155361.0
I,I,I,Thu nhập lãi thuần,,1.692.513,1.656.796,,,1692513.0,1656796.0
3,3,3,Thu nhập từ hoạt động dịch vụ,,92.275,75.554,,,92275.0,75554.0
4,4,4,Chi phí hoạt động dịch vụ,,(24.254),(17.246),,,-24254.0,-17246.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,24,68.021,58.308,,24.0,68021.0,58308.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,25,16.686,25.476,,25.0,16686.0,25476.0
IV,IV,IV,Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,26,4.749,-,,26.0,4749.0,
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,27,80.201,2.384,,27.0,80201.0,2384.0
5,5,5,Thu nhập từ hoạt động khác,,101.572,34.619,,,101572.0,34619.0
6,6,6,Chi phí hoạt động khác,,(3.545),(8.540),,,-3545.0,-8540.0
VI,VI,VI,Lãi thuần từ hoạt động khác,28,98.027,26.079,,28.0,98027.0,26079.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",29,25.350,14.690,,29.0,25350.0,14690.0
VIII,VIII,VIII,Chi phí hoạt động,30,(871.062),(758.963),,30.0,-871062.0,-758963.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,1.114.485,1.024.770,,,1114485.0,1024770.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,,(274.412),(296.423),,,-274412.0,-296423.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,840.073,728.347,,,840073.0,728347.0
7,7,7,Chi phí thuế TNDN hiện hành,,(162.945),(142.731),,,-162945.0,-142731.0
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp,31,(162.945),(142.731),,31.0,-162945.0,-142731.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,677.128,585.616,,,677128.0,585616.0
