row_label_raw,row_label_full,col_0,EURđược quyđối,USDđược quyđối,Các ngoạihối khácđược quyđối,Tổng,numeric__EURđược quyđối,numeric__USDđược quyđối,numeric__Các ngoạihối khácđược quyđối,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
"I. Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",7.329,54.975,-,62.304,7329.0,54975.0,,62304.0
II. Tiền gửi tại NHNN,TÀI SẢN > II. Tiền gửi tại NHNN,II. Tiền gửi tại NHNN,-,16.628,-,16.628,,16628.0,,16628.0
"III. Tiền, vàng gửi và cho vay các TCTD khác (*)","TÀI SẢN > III. Tiền, vàng gửi và cho vay các TCTD khác (*)","III. Tiền, vàng gửi và cho vay các TCTD khác (*)",21.176,1.475.256,22.644,1.519.076,21176.0,1475256.0,22644.0,1519076.0
V. Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),TÀI SẢN > V. Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),V. Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,675.933,675.933,,,675933.0,675933.0
VI. Cho vay khách hàng (*),TÀI SẢN > VI. Cho vay khách hàng (*),VI. Cho vay khách hàng (*),-,107.659,-,107.659,,107659.0,,107659.0
X. Tài sản có khác,TÀI SẢN > X. Tài sản có khác,X. Tài sản có khác,-,4.830,1,4.831,,4830.0,1.0,4831.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,28.505,1.659.348,698.578,2.386.431,28505.0,1659348.0,698578.0,2386431.0
NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,
I. Tiền gửi và vay từ NHNN và các TCTD khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > I. Tiền gửi và vay từ NHNN và các TCTD khác,I. Tiền gửi và vay từ NHNN và các TCTD khác,-,706.237,-,706.237,,706237.0,,706237.0
II. Tiền gửi của khách hàng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > II. Tiền gửi của khách hàng,II. Tiền gửi của khách hàng,6.870,140.511,5,147.386,6870.0,140511.0,5.0,147386.0
III. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > III. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,III. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,2.913.120,-,2.913.120,,2913120.0,,2913120.0
VI. Các khoản nợ khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VI. Các khoản nợ khác,VI. Các khoản nợ khác,8,5.912,603,6.523,8.0,5912.0,603.0,6523.0
Tổng nợ phải trả và vốn chủ sở hữu,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,6.878,3.765.780,608,3.773.266,6878.0,3765780.0,608.0,3773266.0
Trạng thái tiền tệ nội bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,21.627,(2.106.432),697.970,(1.386.835),21627.0,-2106432.0,697970.0,-1386835.0
Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,-,-,-,,,,
Trạng thái tiền tệ nội ngoại bảng,Trạng thái tiền tệ ngoại bảng > Trạng thái tiền tệ nội ngoại bảng,Trạng thái tiền tệ nội ngoại bảng,21.627,(2.106.432),697.970,(1.386.835),21627.0,-2106432.0,697970.0,-1386835.0
