row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,7.577.885,6.805.826,148.964,51.920,341.225,248.587,-,-,8.068.074,7.106.333,7577885.0,6805826.0,148964.0,51920.0,341225.0,248587.0,,,8068074.0,7106333.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,7.577.885,6.805.826,-,-,10.141,6.331,-,-,7.588.026,6.812.157,7577885.0,6805826.0,,,10141.0,6331.0,,,7588026.0,6812157.0
2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,-,-,148.964,51.920,-,-,-,-,148.964,51.920,,,148964.0,51920.0,,,,,148964.0,51920.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,-,-,-,-,331.084,242.256,-,-,331.084,242.256,,,,,331084.0,242256.0,,,331084.0,242256.0
II. Chi phí,II. Chi phí,II. Chi phí,5.895.513,5.155.361,43.413,33.450,148.348,132.393,871.064,746.097,6.958.338,6.067.301,5895513.0,5155361.0,43413.0,33450.0,148348.0,132393.0,871064.0,746097.0,6958338.0,6067301.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,5.895.513,5.155.361,-,-,-,-,-,-,5.895.513,5.155.361,5895513.0,5155361.0,,,,,,,5895513.0,5155361.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,29.299,33.507,29.299,33.507,,,,,,,29299.0,33507.0,29299.0,33507.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,-,-,43.413,33.450,148.348,132.393,841.765,712.590,1.033.526,878.433,,,43413.0,33450.0,148348.0,132393.0,841765.0,712590.0,1033526.0,878433.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,1.682.372,1.650.465,105.551,18.470,192.877,116.194,(871.064),(746.097),1.109.736,1.039.032,1682372.0,1650465.0,105551.0,18470.0,192877.0,116194.0,-871064.0,-746097.0,1109736.0,1039032.0
Chi phí/(Hoàn nhập) dự phòng rủi ro,Chi phí/(Hoàn nhập) dự phòng rủi ro,Chi phí/(Hoàn nhập) dự phòng rủi ro,274.412,296.423,(4.749),14.262,-,-,-,-,269.663,310.685,274412.0,296423.0,-4749.0,14262.0,,,,,269663.0,310685.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.407.960,1.354.042,110.300,4.208,192.877,116.194,(871.064),(746.097),840.073,728.347,1407960.0,1354042.0,110300.0,4208.0,192877.0,116194.0,-871064.0,-746097.0,840073.0,728347.0
