row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa,vật kiến trúc > Triệu VND","Máy móc,thiết bị > Triệu VND",Phương tiệnvận tải > Triệu VND,Thiết bị dụng cụquản lý > Triệu VND,Cộng > Triệu VND,"numeric__Nhà cửa,vật kiến trúc > Triệu VND","numeric__Máy móc,thiết bị > Triệu VND",numeric__Phương tiệnvận tải > Triệu VND,numeric__Thiết bị dụng cụquản lý > Triệu VND,numeric__Cộng > Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,64.061,120.258,52.378,42.286,278.983,64061.0,120258.0,52378.0,42286.0,278983.0
- Mua sắm trong năm,Nguyên giá > - Mua sắm trong năm,- Mua sắm trong năm,1.569,4.786,14.885,3.361,24.601,1569.0,4786.0,14885.0,3361.0,24601.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,272,-,-,272,,272.0,,,272.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(130),(618),(992),(2.215),(3.955),-130.0,-618.0,-992.0,-2215.0,-3955.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,65.500,124.698,66.271,43.432,299.901,65500.0,124698.0,66271.0,43432.0,299901.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,26.373,66.227,33.229,39.071,164.900,26373.0,66227.0,33229.0,39071.0,164900.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,2.602,13.777,4.650,1.779,22.808,2602.0,13777.0,4650.0,1779.0,22808.0
- Tăng khác,Giá trị hao mòn luỹ kế > - Tăng khác,- Tăng khác,-,197,-,-,197,,197.0,,,197.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(104),(543),(992),(2.135),(3.774),-104.0,-543.0,-992.0,-2135.0,-3774.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,28.871,79.658,36.887,38.715,184.131,28871.0,79658.0,36887.0,38715.0,184131.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,37.688,54.031,19.149,3.215,114.083,37688.0,54031.0,19149.0,3215.0,114083.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,36.629,45.040,29.384,4.717,115.770,36629.0,45040.0,29384.0,4717.0,115770.0
