row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,Năm nay/Cuối năm,Năm trước/ Đầu năm,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
III. Tài sản (*),III. Tài sản (*),III. Tài sản (*),94.544.881,90.436.193,559.823,550.470,131.073,41.618,2.811.085,1.819.367,98.046.862,92.847.648,94544881.0,90436193.0,559823.0,550470.0,131073.0,41618.0,2811085.0,1819367.0,98046862.0,92847648.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,-,-,-,-,-,-,460.262,503.429,460.262,503.429,,,,,,,460262.0,503429.0,460262.0,503429.0
2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,-,-,-,-,-,-,512.340,483.537,512.340,483.537,,,,,,,512340.0,483537.0,512340.0,483537.0
3. Tiền gửi và cho vay các TCTD khác,3. Tiền gửi và cho vay các TCTD khác,3. Tiền gửi và cho vay các TCTD khác,9.766.116,13.039.871,-,-,-,-,1.060.118,85.074,10.826.234,13.124.945,9766116.0,13039871.0,,,,,1060118.0,85074.0,10826234.0,13124945.0
4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,1.970.000,1.000.000,129.151,135.820,-,-,-,-,2.099.151,1.135.820,1970000.0,1000000.0,129151.0,135820.0,,,,,2099151.0,1135820.0
5. Các công cụ tài chính phái sinh và các tài sản tài chính khác,5. Các công cụ tài chính phái sinh và các tài sản tài chính khác,5. Các công cụ tài chính phái sinh và các tài sản tài chính khác,-,-,-,-,82.891,35.812,-,-,82.891,35.812,,,,,82891.0,35812.0,,,82891.0,35812.0
6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,63.979.415,55.487.573,-,-,-,-,-,-,63.979.415,55.487.573,63979415.0,55487573.0,,,,,,,63979415.0,55487573.0
7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,15.985.985,18.406.399,-,-,-,-,-,-,15.985.985,18.406.399,15985985.0,18406399.0,,,,,,,15985985.0,18406399.0
"8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn",-,-,430.672,414.650,-,-,-,-,430.672,414.650,,,430672.0,414650.0,,,,,430672.0,414650.0
9. Tài sản cổ định,9. Tài sản cổ định,9. Tài sản cổ định,-,-,-,-,-,-,654.671,655.273,654.671,655.273,,,,,,,654671.0,655273.0,654671.0,655273.0
10. Tài sản Cổ khác,10. Tài sản Cổ khác,10. Tài sản Cổ khác,2.843.365,2.502.350,-,-,48.182,5.806,123.694,92.054,3.015.241,2.600.210,2843365.0,2502350.0,,,48182.0,5806.0,123694.0,92054.0,3015241.0,2600210.0
