row_label_raw,row_label_full,col_0,Dự phòng chungTriệu VND,Dự phòng cụ thểTriệu VND,numeric__Dự phòng chungTriệu VND,numeric__Dự phòng cụ thểTriệu VND
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,(402.819),(210.115),-402819.0,-210115.0
Dự phòng rủi ro trích lập trong năm,Năm nay > Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,(69.609),(192.688),-69609.0,-192688.0
Hoàn nhập dự phòng trong năm,Năm nay > Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,1.144,642,1144.0,642.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Năm nay > Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,-,279.766,,279766.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,(471.284),(122.395),-471284.0,-122395.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,(343.304),(100.675),-343304.0,-100675.0
Dự phòng rủi ro trích lập trong năm,Năm trước > Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,(59.515),(109.440),-59515.0,-109440.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,(402.819),(210.115),-402819.0,-210115.0
