row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tỉnh,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tỉnh,numeric__Cộng
,,,Triệu VND,Triệu VND,Triệu VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,528.988,76.003,604.991,528988.0,76003.0,604991.0
- Mua sắm trong năm,Nguyên giá > - Mua sắm trong năm,- Mua sắm trong năm,-,4.202,4.202,,4202.0,4202.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,528.988,80.205,609.193,528988.0,80205.0,609193.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.751,59.050,63.801,4751.0,59050.0,63801.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,811,5.680,6.491,811.0,5680.0,6491.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.562,64.730,70.292,5562.0,64730.0,70292.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,524.237,16.953,541.190,524237.0,16953.0,541190.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,523.426,15.475,538.901,523426.0,15475.0,538901.0
