row_label_raw,row_label_full,Chi tiêu,Chi tiêu_1,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng,numeric__Chi tiêu_1,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng
Chi tiêu,Chi tiêu,Chi tiêu,Chi tiêu,Trên 03 tháng,Đến 03 tháng,Đến 01 tháng,Từ trên 01 đến 03 tháng,Từ trên 03 đến 12 tháng,Từ trên 01 đến 05 năm,Trên 05 năm,Tổng,,,,,,,,,
Chi tiêu,Chi tiêu,Chi tiêu,Chi tiêu,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,
I,NỘ PHẢI TRẢ > I,I,Tiền gửi và vay từ NHNN và các TCTD khác,-,-,8.326.670,4.463.221,195,447.094,281.194,13.518.374,,,,8326670.0,4463221.0,195.0,447094.0,281194.0,13518374.0
II,NỘ PHẢI TRẢ > II,II,Tiền gửi của khách hàng,-,-,4.503.920,7.264.387,12.930.608,34.142.617,13.802.334,72.643.866,,,,4503920.0,7264387.0,12930608.0,34142617.0,13802334.0,72643866.0
IV,NỘ PHẢI TRẢ > IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,-,12.467,-,12.467,,,,,,,12467.0,,12467.0
V,NỘ PHẢI TRẢ > V,V,Phát hành giấy tờ có giá,-,-,-,-,-,383.848,950.000,1.333.848,,,,,,,383848.0,950000.0,1333848.0
VI,NỘ PHẢI TRẢ > VI,VI,Các khoản nợ khác,-,-,325.493,208.894,220.499,1.508.679,266.920,2.530.485,,,,325493.0,208894.0,220499.0,1508679.0,266920.0,2530485.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,-,-,13.156.083,11.936.502,13.151.302,36.494.705,15.300.448,90.039.040,,,,13156083.0,11936502.0,13151302.0,36494705.0,15300448.0,90039040.0
Mức chênh lệch thanh khoản ròng,NỘ PHẢI TRẢ > Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,53.559,476.619,3.342.210,1.577.944,1.553.817,566.212,437.461,8.007.822,,53559.0,476619.0,3342210.0,1577944.0,1553817.0,566212.0,437461.0,8007822.0
