row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST lũy kế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST lũy kế chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,2.632.778.060.000,785.907.272.279,185.830.957.874,87.091.899.021,1.558.629.211.755,5.250.237.400.929,2632778060000.0,785907272279.0,185830957874.0,87091899021.0,1558629211755.0,5250237400929.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,456.063.292.961,456.063.292.961,,,,,456063292961.0,456063292961.0
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,526.541.720.000,(526.541.720.000),-,-,-,-,526541720000.0,-526541720000.0,,,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)",-,-,-,-,(3.522.256.955),(3.522.256.955),,,,,-3522256955.0,-3522256955.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,5.870.428.258,-,(5.870.428.258),-,,,5870428258.0,,-5870428258.0,
Trích quỹ khác thuộc vốn chủ sở hữu,Trích quỹ khác thuộc vốn chủ sở hữu,Trích quỹ khác thuộc vốn chủ sở hữu,-,-,-,2.348.171.303,(2.348.171.303),-,,,,2348171303.0,-2348171303.0,
Thủ lao Hội đồng Quản trị và Ban Kiểm soát,Thủ lao Hội đồng Quản trị và Ban Kiểm soát,Thủ lao Hội đồng Quản trị và Ban Kiểm soát,-,-,-,-,(1.174.085.652),(1.174.085.652),,,,,-1174085652.0,-1174085652.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,3.159.319.780.000,259.365.552.279,191.701.386.132,89.440.070.324,2.001.777.562.548,5.701.604.351.283,3159319780000.0,259365552279.0,191701386132.0,89440070324.0,2001777562548.0,5701604351283.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,182.805.648.844,182.805.648.844,,,,,182805648844.0,182805648844.0
Vốn tăng trong năm (i),Vốn tăng trong năm (i),Vốn tăng trong năm (i),1.316.389.030.000,262.995.806.000,-,-,-,1.579.384.836.000,1316389030000.0,262995806000.0,,,,1579384836000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21) (ii)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21) (ii)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21) (ii)",-,-,-,-,(22.650.407.222),(22.650.407.222),,,,,-22650407222.0,-22650407222.0
Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),-,-,13.590.244.333,-,(13.590.244.333),-,,,13590244333.0,,-13590244333.0,
Trích quỹ khác thuộc vốn chủ sở hữu (ii),Trích quỹ khác thuộc vốn chủ sở hữu (ii),Trích quỹ khác thuộc vốn chủ sở hữu (ii),-,-,-,9.060.162.889,(9.060.162.889),-,,,,9060162889.0,-9060162889.0,
Thủ lao Hội đồng Quản trị và Ban Kiểm soát (iii),Thủ lao Hội đồng Quản trị và Ban Kiểm soát (iii),Thủ lao Hội đồng Quản trị và Ban Kiểm soát (iii),-,-,-,-,(4.530.081.444),(4.530.081.444),,,,,-4530081444.0,-4530081444.0
Khác,Khác,Khác,-,-,-,-,(313.927.237),(313.927.237),,,,,-313927237.0,-313927237.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,4.475.708.810.000,522.361.358.279,205.291.630.465,98.500.233.213,2.134.438.388.267,7.436.300.420.224,4475708810000.0,522361358279.0,205291630465.0,98500233213.0,2134438388267.0,7436300420224.0
