row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,651.418.753.179,3.890.862.448.307,258.047.153.861,15.521.277.671,725.753.480,4.816.575.386.498,651418753179.0,3890862448307.0,258047153861.0,15521277671.0,725753480.0,4816575386498.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,6.171.994.000,974.000.000,-,-,7.145.994.000,,6171994000.0,974000000.0,,,7145994000.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 13),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 13),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 13),-,31.078.429.195,14.154.167.340,-,-,45.232.596.535,,31078429195.0,14154167340.0,,,45232596535.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(122.599.095.309),(1.903.785.909),(168.051.500),-,(124.670.932.718),,-122599095309.0,-1903785909.0,-168051500.0,,-124670932718.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,651.418.753.179,3.805.513.776.193,271.271.535.292,15.353.226.171,725.753.480,4.744.283.044.315,651418753179.0,3805513776193.0,271271535292.0,15353226171.0,725753480.0,4744283044315.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,410.781.073.396,2.688.737.974.917,153.179.835.075,11.903.265.732,518.203.073,3.265.120.352.193,410781073396.0,2688737974917.0,153179835075.0,11903265732.0,518203073.0,3265120352193.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,40.204.165.348,270.913.637.086,17.347.256.596,1.293.272.086,7.456.901,329.765.788.017,40204165348.0,270913637086.0,17347256596.0,1293272086.0,7456901.0,329765788017.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,(122.599.095.309),(1.570.119.262),(168.051.500),-,(124.337.266.071),,-122599095309.0,-1570119262.0,-168051500.0,,-124337266071.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,450.985.238.744,2.837.052.516.694,168.956.972.409,13.028.486.318,525.659.974,3.470.548.874.139,450985238744.0,2837052516694.0,168956972409.0,13028486318.0,525659974.0,3470548874139.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,240.637.679.783,1.202.124.473.390,104.867.318.786,3.618.011.939,207.550.407,1.551.455.034.305,240637679783.0,1202124473390.0,104867318786.0,3618011939.0,207550407.0,1551455034305.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,200.433.514.435,968.461.259.499,102.314.562.883,2.324.739.853,200.093.506,1.273.734.170.176,200433514435.0,968461259499.0,102314562883.0,2324739853.0,200093506.0,1273734170176.0
