row_label_raw,row_label_full,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Công ty TNHH TM – DV – XD Phú Mỹ > Công ty Cổ phần Đầu tư Thương mại Cửu Long Hưng > Công ty Cổ phần Thương mại và Sản xuất Thái Bình > Khác > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > Công ty Liên Doanh Thép Nam Kim,2025 > Giá trị gốc VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 4.882.046.026 > 2.282.773.749 > 1.455.478.000 > 4.665.720.380 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > 1.776.134.439,2025 > Giá trị có thể thu hồi VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 2.441.023.005 > 684.832.125 > - > 235.949.347 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > -,2025 > Dự phòng VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 2.441.023.021 > 1.597.941.624 > 1.455.478.000 > 4.429.771.033 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > 1.776.134.439,2025 > Thời gian quá hạn > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Từ 1 năm đến 2 năm > Từ 2 năm đến 3 năm > Trên 3 năm > Từ 6 tháng đến trên 3 năm > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > Trên 3 năm,numeric__2025 > Giá trị gốc VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 4.882.046.026 > 2.282.773.749 > 1.455.478.000 > 4.665.720.380 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > 1.776.134.439,numeric__2025 > Giá trị có thể thu hồi VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 2.441.023.005 > 684.832.125 > - > 235.949.347 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > -,numeric__2025 > Dự phòng VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 2.441.023.021 > 1.597.941.624 > 1.455.478.000 > 4.429.771.033 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > 1.776.134.439,numeric__2025 > Thời gian quá hạn > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Từ 1 năm đến 2 năm > Từ 2 năm đến 3 năm > Trên 3 năm > Từ 6 tháng đến trên 3 năm > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > Trên 3 năm
,,,15.062.152.594,3.361.804.477,11.700.348.117,,15062152594.0,3361804477.0,11700348117.0,
,,,2024,2024,2024,2024,2024.0,2024.0,2024.0,2024.0
,,,Giá trị gốc VND,Giá trị có thể thu hồi VND,Dự phòng VND,Thời gian quá hạn,,,,
i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,,,,
Công ty Cổ phần Đầu tư Thương mại Cửu Long Hưng,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Công ty Cổ phần Đầu tư Thương mại Cửu Long Hưng,Công ty Cổ phần Đầu tư Thương mại Cửu Long Hưng,2.282.773.749,1.139.386.874,1.143.386.875,Từ 1 năm đến 2 năm,2282773749.0,1139386874.0,1143386875.0,
Công ty Cổ phần Thương mại và Sản xuất Thái Bình,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Công ty Cổ phần Thương mại và Sản xuất Thái Bình,Công ty Cổ phần Thương mại và Sản xuất Thái Bình,1.455.478.000,-,1.455.478.000,Trên 3 năm,1455478000.0,,1455478000.0,
Khác,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Khác,Khác,7.528.240.146,3.575.014.147,3.953.225.999,Từ 1 năm đến 3 năm,7528240146.0,3575014147.0,3953225999.0,
ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,,,,
Công ty Liên Doanh Thép Nam Kim,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > Công ty Liên Doanh Thép Nam Kim,Công ty Liên Doanh Thép Nam Kim,1.776.134.439,-,1.776.134.439,Trên 3 năm,1776134439.0,,1776134439.0,
,,,13.042.626.334,4.714.401.021,8.328.225.313,,13042626334.0,4714401021.0,8328225313.0,
