row_label_raw,row_label_full,col_0,Tại ngày1.1.2025VND,Số phải thu trong nămVND,Hoàn thuế trong nămVND,Số đã cán trừ trong nămVND,Tại ngày31.12.2025VND,numeric__Tại ngày1.1.2025VND,numeric__Số phải thu trong nămVND,numeric__Hoàn thuế trong nămVND,numeric__Số đã cán trừ trong nămVND,numeric__Tại ngày31.12.2025VND
(a) Thuế và các khoản phải thuThuế GTGT được khấu trừ,(a) Thuế và các khoản phải thuThuế GTGT được khấu trừ,(a) Thuế và các khoản phải thuThuế GTGT được khấu trừ,887.200.439.911,1.139.038.398.564,(300.822.000.000),(903.728.013.660),821.688.824.815,887200439911.0,1139038398564.0,-300822000000.0,-903728013660.0,821688824815.0
,,,Tại ngày1.1.2025VND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,Số đã cán trừ trong nămVND,Tại ngày31.12.2025VND,,,,,
(b) Thuế và các khoản phải nộpThuế GTGT hàng bán trong nước,(b) Thuế và các khoản phải nộpThuế GTGT hàng bán trong nước,(b) Thuế và các khoản phải nộpThuế GTGT hàng bán trong nước,-,903.728.013.660,-,(903.728.013.660),-,,903728013660.0,,-903728013660.0,
Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,70.741.893.107,424.097.900.602,(439.521.532.168),-,55.318.261.541,70741893107.0,424097900602.0,-439521532168.0,,55318261541.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",349.553.444,1.693.834.257,(1.943.686.269),-,99.701.432,349553444.0,1693834257.0,-1943686269.0,,99701432.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,106.682.329.798,46.679.199.689,(106.984.057.543),-,46.377.471.944,106682329798.0,46679199689.0,-106984057543.0,,46377471944.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.258.740.459,6.379.043.470,(7.962.294.331),-,675.489.598,2258740459.0,6379043470.0,-7962294331.0,,675489598.0
Khác,Khác,Khác,53.701.510,1.720.917.970,(1.755.917.322),-,18.702.158,53701510.0,1720917970.0,-1755917322.0,,18702158.0
,,,180.086.218.318,1.384.298.909.648,(558.167.487.633),(903.728.013.660),102.489.626.673,180086218318.0,1384298909648.0,-558167487633.0,-903728013660.0,102489626673.0
