row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu nhập từ nợ gốc vay được xóa (*),Thu nhập khác > Thu nhập từ nợ gốc vay được xóa (*),Thu nhập từ nợ gốc vay được xóa (*),137.146.232.869,-,137146232869.0,
"Thu nhập từ miễn, giảm nợ","Thu nhập khác > Thu nhập từ miễn, giảm nợ","Thu nhập từ miễn, giảm nợ",3.770.463.598,-,3770463598.0,
Khác,Thu nhập khác > Khác,Khác,1.845.260.701,2.803.684.070,1845260701.0,2803684070.0
,,,142.761.957.168,2.803.684.070,142761957168.0,2803684070.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi phí phạt,Chi phí khác > Chi phí phạt,Chi phí phạt,(4.244.318.159),(14.105.103.306),-4244318159.0,-14105103306.0
Xóa số tài sản cố định,Chi phí khác > Xóa số tài sản cố định,Xóa số tài sản cố định,(2.526.192.182),(2.433.440.266),-2526192182.0,-2433440266.0
Thanh lý tài sản,Chi phí khác > Thanh lý tài sản,Thanh lý tài sản,(414.892.592),-,-414892592.0,
Khác,Chi phí khác > Khác,Khác,(1.477.594.111),(3.888.161.749),-1477594111.0,-3888161749.0
,,,(8.662.997.044),(20.426.705.321),-8662997044.0,-20426705321.0
LỢI NHUẬN (LỔ) KHÁC,Chi phí khác > LỢI NHUẬN (LỔ) KHÁC,LỢI NHUẬN (LỔ) KHÁC,134.098.960.124,(17.623.021.251),134098960124.0,-17623021251.0
