row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty con,Nhận chuyển nhượng QSDĐ,2.700.800.000,-,,,2700800000.0,
Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty con,Trả gốc vay,2.000.000.000,-,,,2000000000.0,
Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty con,Chi phí trồng rừng,163.485.000,144.660.000,,,163485000.0,144660000.0
Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty con,Lãi vay phải trả,31.666.667,46.944.443,,,31666667.0,46944443.0
Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty con,Trả hộ,21.226.000,-,,,21226000.0,
Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty con,Vay,-,2.000.000.000,,,,2000000000.0
Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty con,Cán trừ khoản vay,4.126.143.573,-,,,4126143573.0,
Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty con,Lãi cho vay,886.262.079,775.016.664,,,886262079.0,775016664.0
Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty con,Trả hộ,42.452.000,-,,,42452000.0,
Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty con,Mua nguyên liệu,-,2.304.764.211,,,,2304764211.0
Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Công ty con (cho đến ngày 3 tháng 10 năm 2017),"Mua nguyên liệu, hàng hóa",-,17.530.284.717,,,,17530284717.0
Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Công ty con (cho đến ngày 3 tháng 10 năm 2017),Bán hàng hóa,-,3.285.158.488,,,,3285158488.0
Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty con (đã giải thể),Ứng trước tiền mua hàng,-,4.795.652.500,,,,4795652500.0
Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty con (đã giải thể),Lãi cho vay,-,3.449.646.217,,,,3449646217.0
Công ty Cổ phần Trồng rừng Trường Thành,Công ty Cổ phần Trồng rừng Trường Thành,Công ty Cổ phần Trồng rừng Trường Thành,Công ty con,Cung cấp dịch vụ,242.387.091,-,,,242387091.0,
Công ty Cổ phần Trồng rừng Trường Thành,Công ty Cổ phần Trồng rừng Trường Thành,Công ty Cổ phần Trồng rừng Trường Thành,Công ty con,Trả hộ,42.452.000,-,,,42452000.0,
