row_label_raw,row_label_full,"Đầu tư vào công ty con (Thuyết minh số 17.1) > Đầu tư vào công ty liên doanh, liên kết (Thuyết minh số 17.2) > Đầu tư góp vốn vào đơn vị khác (Thuyết minh số 17.3)",Số cuối năm > 170.037.347.443 > 96.930.473.000 > 11.546.634.766,VND Số đầu năm > 228.814.057.443 > 173.135.473.000 > 279.784.766,numeric__Số cuối năm > 170.037.347.443 > 96.930.473.000 > 11.546.634.766,numeric__VND Số đầu năm > 228.814.057.443 > 173.135.473.000 > 279.784.766
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,278.514.455.209,402.229.315.209,278514455209.0,402229315209.0
"Dự phòng đầu tư tài chính dài hạn (Thuyết minh số 17.1, 17.2 và 17.3)","Dự phòng đầu tư tài chính dài hạn (Thuyết minh số 17.1, 17.2 và 17.3)","Dự phòng đầu tư tài chính dài hạn (Thuyết minh số 17.1, 17.2 và 17.3)",(113.009.772.994),(114.121.014.161),-113009772994.0,-114121014161.0
GIÁ TRI THUÀN,GIÁ TRI THUÀN,GIÁ TRI THUÀN,165.504.682.215,288.108.301.048,165504682215.0,288108301048.0
