row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,286.284.875.852,226.708.454.098,18.196.643.693,13.255.815.823,544.445.789.466,286284875852.0,226708454098.0,18196643693.0,13255815823.0,544445789466.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,,,,,
Đầu tư xây dựng cơ bản hoàn thành,Tăng trong năm > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,70.754.000,32.214.538.884,-,-,32.285.292.884,70754000.0,32214538884.0,,,32285292884.0
Mua mới,Tăng trong năm > Mua mới,Mua mới,-,3.852.203.198,679.280.000,1.607.390.909,6.138.874.107,,3852203198.0,679280000.0,1607390909.0,6138874107.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,,,,,
Phân loại lại(Thuyết minh số 21),Giảm trong năm > Phân loại lại(Thuyết minh số 21),Phân loại lại(Thuyết minh số 21),(176.710.609.643),(25.318.993.535),(5.818.465.636),(10.896.198.080),(218.744.266.894),-176710609643.0,-25318993535.0,-5818465636.0,-10896198080.0,-218744266894.0
Thanh lý,Giảm trong năm > Thanh lý,Thanh lý,-,(1.146.971.179),(816.548.055),-,(1.963.519.234),,-1146971179.0,-816548055.0,,-1963519234.0
Xóa số,Giảm trong năm > Xóa số,Xóa số,(98.008.902),(108.305.900),-,(525.192.797),(731.507.599),-98008902.0,-108305900.0,,-525192797.0,-731507599.0
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,109.547.011.307,236.200.925.566,12.240.910.002,3.441.815.855,361.430.662.730,109547011307.0,236200925566.0,12240910002.0,3441815855.0,361430662730.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,1.677.590.502,14.953.621.018,3.442.817.269,2.463.500.435,22.537.529.224,1677590502.0,14953621018.0,3442817269.0,2463500435.0,22537529224.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(67.481.502.145),(102.829.133.639),(12.011.131.823),(3.579.380.416),(185.901.148.023),-67481502145.0,-102829133639.0,-12011131823.0,-3579380416.0,-185901148023.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,,,,,
Khấu hao trong năm,Tăng trong năm > Khấu hao trong năm,Khấu hao trong năm,(11.166.601.626),(17.080.259.189),(1.386.107.431),(1.252.445.623),(30.885.413.869),-11166601626.0,-17080259189.0,-1386107431.0,-1252445623.0,-30885413869.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,,,,,
Phân loại lại(Thuyết minh số 21),Giảm trong năm > Phân loại lại(Thuyết minh số 21),Phân loại lại(Thuyết minh số 21),51.687.051.819,3.262.280.641,1.812.654.956,2.497.045.388,59.259.032.804,51687051819.0,3262280641.0,1812654956.0,2497045388.0,59259032804.0
Thanh lý,Giảm trong năm > Thanh lý,Thanh lý,-,732.805.973,722.066.970,-,1.454.872.943,,732805973.0,722066970.0,,1454872943.0
Xóa số,Giảm trong năm > Xóa số,Xóa số,98.008.902,74.610.731,-,525.192.797,697.812.430,98008902.0,74610731.0,,525192797.0,697812430.0
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,(26.863.043.050),(115.839.695.483),(10.862.517.328),(1.809.587.854),(155.374.843.715),-26863043050.0,-115839695483.0,-10862517328.0,-1809587854.0,-155374843715.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,218.803.373.707,123.879.320.459,6.185.511.870,9.676.435.407,358.544.641.443,218803373707.0,123879320459.0,6185511870.0,9676435407.0,358544641443.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,82.683.968.257,120.361.230.083,1.378.392.674,1.632.228.001,206.055.819.015,82683968257.0,120361230083.0,1378392674.0,1632228001.0,206055819015.0
