row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu về cho vay dài hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Cho vay,38.312.802.000,35.800.137.000,,,38312802000.0,35800137000.0
Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Phải thu về cho vay dài hạn > Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Công ty con (đã giải thể),Cho vay,120.000.000,28.353.256.553,,,120000000.0,28353256553.0
Công ty Cổ phần Lâm Nghiệp Trường Thành,Phải thu về cho vay dài hạn > Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty con,Cho vay,-,120.000.000,,,,120000000.0
,,,,,38.432.802.000,64.273.393.553,,,38432802000.0,64273393553.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,Cho mượn Lãi cho vay,45.489.532.660 26.071.634.393,54.577.456.810 16.921.824.443,,,,
Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Lãi cho vay Cho mượn,18.540.646.105 519.318.900,18.540.646.105 104.273.100,,,,
Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty con,Lãi cho vay Chi hộ,5.042.560.314 116.895.460,4.147.218.971 113.546.200,,,,
Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An,Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An,Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An,Công ty con,Lãi cho vay Chi hộ,4.747.696.325 65.303.700,4.747.696.325 51.955.100,,,,
Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty con,Lãi cho vay Cho mượn,1.798.906.664 499.652.300,1.798.906.664 452.955.100,,,,
Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Công ty con,Lãi cho vay Chi hộ,1.223.333.338 54.303.700,1.223.333.338 51.955.100,,,,
Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty con (đã giải thể),Lãi cho vay Cho mượn,-,4.946.872.226 3.788.975.915,,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Chi hộ Lãi cho vay,6.091.078.433 770.737.668,52.500.000 286.968.836,,,,
