row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,Tại ngày 31/12/2024,Tại ngày 01/01/2024,numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2024,numeric__Tại ngày 01/01/2024
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,14.151.161.724.246,15.723.282.082.321,200.0,,14151161724246.0,15723282082321.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,125.965.106.976,120.883.273.364,210.0,,125965106976.0,120883273364.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,,74.540.000,74.540.000,211.0,,74540000.0,74540000.0
2. Trả trước cho người bán dài hạn,2. Trả trước cho người bán dài hạn,2. Trả trước cho người bán dài hạn,212,,200.000.000,200.000.000,212.0,,200000000.0,200000000.0
3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,216,4.5,132.241.185.376,127.159.351.764,216.0,45.0,132241185376.0,127159351764.0
4. Dự phòng phải thu dài hạn khó đòi,4. Dự phòng phải thu dài hạn khó đòi,4. Dự phòng phải thu dài hạn khó đòi,219,4.6,(6.550.618.400),(6.550.618.400),219.0,46.0,-6550618400.0,-6550618400.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,4.454.199.509.626,4.933.107.526.180,220.0,,4454199509626.0,4933107526180.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,4.8,4.098.097.016.472,4.603.014.608.791,221.0,48.0,4098097016472.0,4603014608791.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,9.711.536.082.716,9.815.571.055.862,222.0,,9711536082716.0,9815571055862.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(5.613.439.066.244),(5.212.556.447.071),223.0,,-5613439066244.0,-5212556447071.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,4.9,356.102.493.154,330.092.917.389,227.0,49.0,356102493154.0,330092917389.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,516.853.838.162,487.299.665.590,228.0,,516853838162.0,487299665590.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(160.751.345.008),(157.206.748.201),229.0,,-160751345008.0,-157206748201.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,4.10,3.034.570.156.068,4.269.991.947.348,230.0,410.0,3034570156068.0,4269991947348.0
1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,231,,4.798.629.336.929,6.584.990.198.315,231.0,,4798629336929.0,6584990198315.0
2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,232,,(1.764.059.180.861),(2.314.998.250.967),232.0,,-1764059180861.0,-2314998250967.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,4.634.768.192.882,4.285.070.596.409,240.0,,4634768192882.0,4285070596409.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,4.11,4.634.768.192.882,4.285.070.596.409,242.0,411.0,4634768192882.0,4285070596409.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,4.2,853.010.698.941,409.991.916.728,250.0,42.0,853010698941.0,409991916728.0
1. Đầu tư vào công ty liên kết,1. Đầu tư vào công ty liên kết,1. Đầu tư vào công ty liên kết,252,,697.103.368.846,271.565.587.589,252.0,,697103368846.0,271565587589.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,219.948.164.350,219.948.164.350,253.0,,219948164350.0,219948164350.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(84.040.834.255),(81.521.835.211),254.0,,-84040834255.0,-81521835211.0
4. Đầu tư nằm giữ đến ngày đáo hạn,4. Đầu tư nằm giữ đến ngày đáo hạn,4. Đầu tư nằm giữ đến ngày đáo hạn,255,,20.000.000.000,-,255.0,,20000000000.0,
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,1.048.648.059.753,1.704.236.822.292,260.0,,1048648059753.0,1704236822292.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,4.12,964.031.115.642,1.625.065.213.861,261.0,412.0,964031115642.0,1625065213861.0
2. Tài sản thuê thu nhập hoãn lại,2. Tài sản thuê thu nhập hoãn lại,2. Tài sản thuê thu nhập hoãn lại,262,5.9,84.616.944.111,79.171.608.431,262.0,59.0,84616944111.0,79171608431.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,21.104.200.132.970,23.278.796.165.171,270.0,,21104200132970.0,23278796165171.0
